Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,180.200,1.159,0.605,0.797,0.962,1.299,1.645,2.043,3.484,21.702,0.862
5,219.600,0.820,0.586,0.682,0.734,0.813,0.993,1.284,1.752,12.525,1.219
10,212.600,0.857,0.578,0.677,0.722,0.821,1.291,1.496,2.173,9.181,1.167
15,249.800,0.787,0.593,0.685,0.722,0.791,0.913,1.295,1.747,5.353,1.271
20,235.400,0.799,0.584,0.682,0.730,0.802,1.039,1.347,1.688,2.012,1.251
25,218.200,0.825,0.582,0.654,0.699,0.791,1.336,1.555,1.857,11.126,1.212
30,226.000,0.815,0.589,0.677,0.719,0.795,1.191,1.379,1.688,10.938,1.227
35,210.400,0.852,0.580,0.665,0.720,0.896,1.343,1.476,1.736,1.903,1.174
40,241.200,0.776,0.566,0.640,0.681,0.761,1.219,1.324,1.650,1.915,1.288
45,228.200,0.800,0.593,0.674,0.714,0.792,1.212,1.331,1.552,2.409,1.249
50,216.200,0.833,0.574,0.670,0.722,0.822,1.280,1.515,1.833,4.674,1.200
55,226.200,0.858,0.605,0.686,0.729,0.815,1.339,1.496,1.832,11.379,1.166
