Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.000,1.409,1.010,1.185,1.378,1.549,1.719,1.900,3.375,3.375,0.710
5,14.200,1.530,0.970,1.211,1.470,1.654,1.821,2.078,6.929,6.929,0.654
10,13.800,1.524,0.901,1.182,1.434,1.749,2.124,2.276,3.096,3.096,0.656
15,15.200,1.418,0.764,1.164,1.352,1.607,1.842,2.221,2.610,2.610,0.705
20,18.400,1.365,0.865,1.176,1.324,1.464,1.642,1.953,2.852,2.852,0.733
25,13.400,1.435,0.936,1.178,1.349,1.521,1.640,2.112,4.359,4.359,0.697
30,15.000,1.427,0.771,1.174,1.352,1.593,1.967,2.036,2.474,2.474,0.701
35,16.800,1.351,0.837,1.103,1.224,1.529,1.867,2.102,2.704,2.704,0.740
40,15.200,1.436,0.886,1.145,1.327,1.621,2.028,2.247,2.717,2.717,0.696
45,14.000,1.446,0.927,1.180,1.372,1.708,1.995,2.143,2.450,2.450,0.691
50,16.400,1.551,0.932,1.195,1.448,1.818,1.985,2.138,4.734,4.734,0.645
55,11.600,1.438,0.983,1.248,1.394,1.581,1.831,2.098,2.474,2.474,0.695
