Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,372.800,2.672,0.355,1.043,1.959,3.269,5.687,6.868,12.958,21.089,0.374
5,518.600,1.919,0.328,0.758,1.572,2.592,3.291,5.565,6.619,13.779,0.521
10,519.000,1.916,0.271,0.738,1.520,2.539,3.362,5.661,7.372,14.434,0.522
15,501.400,1.989,0.265,0.736,1.648,2.663,3.679,5.600,6.963,13.525,0.503
20,553.000,1.803,0.292,0.710,1.470,2.500,3.137,5.387,6.376,17.444,0.555
25,482.800,2.066,0.288,0.739,1.670,2.673,4.205,5.754,8.349,18.262,0.484
30,486.200,2.050,0.289,0.724,1.643,2.655,4.386,5.706,8.037,16.548,0.488
35,535.600,1.863,0.266,0.696,1.436,2.554,3.453,5.509,6.441,15.420,0.537
40,466.800,2.135,0.262,0.731,1.635,2.824,4.630,5.836,10.480,21.967,0.468
45,508.200,1.963,0.263,0.723,1.494,2.633,3.719,5.523,7.552,16.505,0.510
50,454.800,2.192,0.291,0.784,1.714,2.791,4.639,6.068,10.865,25.514,0.456
55,520.600,1.914,0.285,0.756,1.599,2.611,3.324,5.488,6.452,20.819,0.522
