Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,170.400,3.488,1.516,2.299,2.947,3.891,6.147,7.514,9.560,12.767,0.287
5,157.600,3.915,1.476,2.461,3.396,5.275,6.496,7.199,8.302,14.877,0.255
10,203.200,3.110,1.073,2.148,2.752,3.377,5.382,6.301,7.460,13.547,0.322
15,202.000,3.210,1.102,2.044,2.734,3.937,5.862,6.315,7.180,19.697,0.312
20,210.200,3.117,0.919,2.015,2.713,3.705,5.519,6.123,7.178,12.073,0.321
25,197.200,3.288,0.957,2.094,2.788,4.076,5.888,6.525,7.325,15.712,0.304
30,190.000,3.475,1.448,2.318,3.033,4.292,5.775,6.450,7.974,24.353,0.288
35,141.200,4.559,1.421,2.987,4.347,5.847,7.118,7.772,11.218,14.631,0.219
40,198.200,3.238,1.242,2.216,2.885,3.941,5.312,6.103,7.423,8.671,0.309
45,168.600,3.783,1.437,2.346,3.278,5.043,6.245,6.890,8.211,9.768,0.264
50,188.200,3.237,1.004,2.175,2.909,3.887,5.294,5.995,7.434,8.916,0.309
55,205.200,3.198,1.017,2.073,2.727,4.017,5.638,6.338,7.388,7.684,0.313
