Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,189,189.000,1491,2140,4509,5274,7074,9060,15583,23443,28250
1,216,216.000,1150,1867,4009,4606,6507,8636,10031,15939,19283
2,320,320.000,528,1514,2046,3108,4248,6521,7426,13703,15312
3,382,382.000,415,1057,1700,2610,3431,5391,6344,12610,18401
4,471,471.000,368,803,1610,2116,2752,3887,5998,10796,15662
5,430,430.000,332,805,1496,2313,2852,4972,6001,11630,17011
6,461,461.000,332,766,1630,2161,2746,4678,5754,11473,12066
7,539,539.000,327,763,1391,1850,2547,3157,5685,6363,12273
8,535,535.000,424,725,1497,1862,2468,3203,5391,6876,12901
9,432,432.000,326,920,1611,2313,3086,5116,5842,9394,13531
10,318,318.000,339,1314,1846,3120,4438,6254,10743,12934,13662
11,361,361.000,311,1183,1615,2780,4030,5865,7055,12589,13145
12,405,405.000,317,876,1655,2442,3070,5593,6175,11278,17129
13,485,485.000,331,751,1601,2058,2648,4187,5685,10926,12728
14,574,574.000,297,713,1535,1740,2435,3068,4525,5876,6629
15,435,435.000,293,748,1609,2258,2787,5188,6059,11430,12100
16,526,526.000,313,729,1412,1892,2536,3405,5570,6905,13867
17,561,561.000,291,705,1497,1776,2411,2985,5368,5920,22465
18,582,582.000,300,684,1439,1714,2436,3024,5329,5708,5995
19,597,597.000,280,675,1142,1669,2394,2982,5441,5838,6531
20,511,511.000,349,690,1574,1949,2548,3867,5522,6392,11571
21,418,418.000,265,947,1617,2391,3183,5263,5955,10814,11410
22,589,589.000,306,687,1470,1689,2387,2999,3780,6319,13275
23,627,627.000,276,672,1129,1593,2266,2911,3290,5690,9420
24,562,562.000,262,707,1370,1779,2566,3186,5385,5993,6860
25,547,547.000,298,723,1584,1817,2536,3204,4355,6646,12564
26,527,527.000,262,743,1652,1897,2560,3216,5567,6214,17142
27,464,464.000,277,798,1607,2151,2798,4566,5561,8843,13033
28,574,574.000,303,674,1473,1729,2424,2970,5359,6829,11741
29,476,476.000,323,755,1414,2100,2616,4106,6699,11095,16138
30,419,419.000,303,774,1810,2373,2898,5279,6220,10857,27272
31,559,559.000,271,711,1525,1786,2477,3099,3938,6783,14262
32,503,503.000,290,726,1458,1982,2677,3971,5238,10931,14679
33,564,564.000,286,725,1425,1768,2484,3174,4412,6046,7285
34,441,441.000,296,760,1468,2258,3122,5243,5752,10910,11968
35,561,561.000,297,692,1435,1777,2480,3089,5070,6119,12867
36,528,528.000,283,708,1549,1891,2594,3382,5420,6455,11692
37,428,428.000,300,771,1526,2332,2935,5145,6166,11505,22231
38,513,513.000,316,786,1597,1941,2639,3777,4983,6377,14656
39,547,547.000,309,748,1552,1822,2575,3256,3740,5859,12602
40,451,451.000,297,714,1549,2215,2872,5296,6057,11645,13214
41,482,482.000,314,749,1528,2064,2717,4405,5623,7007,12284
42,495,495.000,300,727,1784,2015,2671,4117,5696,6306,11909
43,543,543.000,310,715,1285,1837,2620,3331,5462,5881,11583
44,447,447.000,302,766,1542,2231,3034,5431,5929,7703,13476
45,594,594.000,303,714,1049,1677,2421,3106,3444,5856,6398
46,504,504.000,299,723,1604,1978,2603,3678,5643,8525,12202
47,568,568.000,264,713,1473,1756,2505,3102,3548,5729,12386
48,574,574.000,274,701,1188,1742,2480,3162,5384,6653,13659
49,310,310.000,404,1225,1847,3214,4690,6598,7359,14006,15543
50,516,516.000,311,774,1664,1931,2643,3431,5064,6423,8419
51,594,594.000,266,714,1172,1677,2435,3052,3624,5887,6412
52,558,558.000,300,707,1368,1785,2519,3240,5429,5941,6522
53,535,535.000,303,720,1497,1863,2554,3162,5515,7834,14189
54,543,543.000,293,718,1461,1840,2587,3253,5229,5924,12153
55,492,492.000,291,724,1654,2022,2633,3682,5288,11520,14173
56,557,557.000,294,694,1470,1795,2490,3197,5469,5988,7204
57,546,546.000,246,678,1366,1826,2487,3302,5284,7143,12630
58,542,542.000,267,677,1566,1836,2469,3183,5462,6854,12697
59,539,539.000,268,704,1440,1846,2490,3232,5571,6694,20368
