Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1707787015.465116,17121,0,1
2,Payment,1707787015.482603,10938,0,1
1,NewOrder,1707787015.493561,16578,0,1
2,Payment,1707787015.510159,12608,0,1
2,Payment,1707787015.522786,3145,0,1
2,Payment,1707787015.525949,4774,0,1
2,Payment,1707787015.530739,3200,0,1
3,OrderStatus,1707787015.533954,2345,0,1
2,Payment,1707787015.536314,3284,0,1
3,OrderStatus,1707787015.539614,1966,0,1
1,NewOrder,1707787015.541592,22667,0,1
1,NewOrder,1707787015.564280,8669,0,1
2,Payment,1707787015.572970,2392,0,1
1,NewOrder,1707787015.575379,8421,0,1
2,Payment,1707787015.583821,2169,0,1
1,NewOrder,1707787015.586006,6972,0,1
1,NewOrder,1707787015.592998,7863,0,1
3,OrderStatus,1707787015.600882,1881,0,1
2,Payment,1707787015.602778,2229,0,1
1,NewOrder,1707787015.605024,7563,0,1
1,NewOrder,1707787015.612608,8232,0,1
2,Payment,1707787015.620862,2531,0,1
1,NewOrder,1707787015.623412,4651,0,1
1,NewOrder,1707787015.628083,7820,0,1
3,OrderStatus,1707787015.635926,1769,0,1
2,Payment,1707787015.637710,2428,0,1
2,Payment,1707787015.640155,1783,0,1
2,Payment,1707787015.641952,1669,0,1
2,Payment,1707787015.643633,1731,0,1
5,StockLevel,1707787015.645375,2909,0,1
2,Payment,1707787015.648303,1931,0,1
1,NewOrder,1707787015.650248,6943,0,1
1,NewOrder,1707787015.657214,4074,0,1
1,NewOrder,1707787015.661308,6383,0,1
1,NewOrder,1707787015.667712,4688,0,1
2,Payment,1707787015.672424,2145,0,1
3,OrderStatus,1707787015.674588,1791,0,1
1,NewOrder,1707787015.676396,4498,0,1
1,NewOrder,1707787015.680915,5939,0,1
2,Payment,1707787015.686874,1794,0,1
1,NewOrder,1707787015.688682,6309,0,1
3,OrderStatus,1707787015.695013,1468,0,1
1,NewOrder,1707787015.696495,6493,0,1
2,Payment,1707787015.703188,1905,0,1
1,NewOrder,1707787015.705109,4753,0,1
2,Payment,1707787015.709885,1901,0,1
2,Payment,1707787015.711802,1740,0,1
1,NewOrder,1707787015.713558,6039,0,1
1,NewOrder,1707787015.719620,6050,0,1
5,StockLevel,1707787015.725690,1749,0,1
1,NewOrder,1707787015.727460,5998,0,1
1,NewOrder,1707787015.733481,7903,0,1
1,NewOrder,1707787015.741407,6399,0,1
2,Payment,1707787015.747829,1815,0,1
3,OrderStatus,1707787015.749661,1590,0,1
2,Payment,1707787015.751265,1947,0,1
1,NewOrder,1707787015.753267,5988,0,1
2,Payment,1707787015.759275,2069,0,1
1,NewOrder,1707787015.761363,5610,0,1
2,Payment,1707787015.766993,2305,0,1
2,Payment,1707787015.769319,1730,0,1
1,NewOrder,1707787015.771065,4225,0,1
2,Payment,1707787015.775312,1866,0,1
2,Payment,1707787015.777194,1677,0,1
2,Payment,1707787015.778889,1790,0,1
2,Payment,1707787015.780696,1739,0,1
1,NewOrder,1707787015.782461,5921,0,1
1,NewOrder,1707787015.788401,5191,0,1
1,NewOrder,1707787015.793610,5041,0,1
1,NewOrder,1707787015.798666,6900,0,1
1,NewOrder,1707787015.805585,4308,0,1
2,Payment,1707787015.809911,1851,0,1
1,NewOrder,1707787015.811779,5176,0,1
4,Delivery,1707787015.816982,19339,0,1
1,NewOrder,1707787015.836353,4802,0,1
2,Payment,1707787015.841176,1640,0,1
1,NewOrder,1707787015.842831,8529,0,1
1,NewOrder,1707787015.851382,6514,0,1
1,NewOrder,1707787015.857919,8191,0,1
1,NewOrder,1707787015.866133,3747,0,1
2,Payment,1707787015.869900,1612,0,1
2,Payment,1707787015.871527,1435,0,1
1,NewOrder,1707787015.872977,5558,0,1
2,Payment,1707787015.878556,1928,0,1
2,Payment,1707787015.880501,1772,0,1
2,Payment,1707787015.882287,1588,0,1
1,NewOrder,1707787015.883887,7078,0,1
2,Payment,1707787015.890988,1823,0,1
2,Payment,1707787015.892829,1494,0,1
1,NewOrder,1707787015.894338,4676,0,1
2,Payment,1707787015.899037,2126,0,1
2,Payment,1707787015.901180,1659,0,1
2,Payment,1707787015.902854,1583,0,1
1,NewOrder,1707787015.904453,5928,0,1
2,Payment,1707787015.910403,1640,0,1
2,Payment,1707787015.912060,1640,0,1
2,Payment,1707787015.913715,1625,0,1
1,NewOrder,1707787015.915354,6913,0,1
2,Payment,1707787015.922288,2476,0,1
4,Delivery,1707787015.924780,15499,0,1
4,Delivery,1707787015.940300,14107,0,1
2,Payment,1707787015.954428,2611,0,1
2,Payment,1707787015.957056,1719,0,1
1,NewOrder,1707787015.958789,4435,0,1
1,NewOrder,1707787015.963244,5669,0,1
2,Payment,1707787015.968936,1985,0,1
1,NewOrder,1707787015.970939,5315,0,1
4,Delivery,1707787015.976276,16781,0,1
5,StockLevel,1707787015.993080,2205,0,1
1,NewOrder,1707787015.995316,5013,0,1
1,NewOrder,1707787016.000348,4046,0,1
2,Payment,1707787016.004414,2218,0,1
1,NewOrder,1707787016.006648,7132,0,1
2,Payment,1707787016.013802,2282,0,1
1,NewOrder,1707787016.016102,6838,0,1
1,NewOrder,1707787016.022960,7461,0,1
2,Payment,1707787016.030443,1835,0,1
2,Payment,1707787016.032295,1798,0,1
2,Payment,1707787016.034108,3380,0,1
2,Payment,1707787016.037507,2036,0,1
1,NewOrder,1707787016.039560,6212,0,1
1,NewOrder,1707787016.045794,4888,0,1
1,NewOrder,1707787016.050700,4134,0,1
1,NewOrder,1707787016.054853,8899,0,1
1,NewOrder,1707787016.063775,7242,0,1
1,NewOrder,1707787016.071039,7668,0,1
1,NewOrder,1707787016.078732,6087,0,1
1,NewOrder,1707787016.084854,9975,0,1
1,NewOrder,1707787016.094876,7348,0,1
2,Payment,1707787016.102268,2267,0,1
2,Payment,1707787016.104553,1773,0,1
1,NewOrder,1707787016.106348,6185,0,1
2,Payment,1707787016.112556,1944,0,1
1,NewOrder,1707787016.114518,4609,0,1
1,NewOrder,1707787016.119149,7645,0,1
2,Payment,1707787016.126818,3115,0,1
1,NewOrder,1707787016.129954,3756,0,1
1,NewOrder,1707787016.133733,7180,0,1
1,NewOrder,1707787016.140936,5791,0,1
2,Payment,1707787016.146751,1647,0,1
2,Payment,1707787016.148417,1237,0,1
3,OrderStatus,1707787016.149666,987,0,1
2,Payment,1707787016.150665,1092,0,1
2,Payment,1707787016.151773,1236,0,1
2,Payment,1707787016.153024,2082,0,1
1,NewOrder,1707787016.155122,6390,0,1
1,NewOrder,1707787016.161532,5293,0,1
1,NewOrder,1707787016.166912,6128,0,1
2,Payment,1707787016.173113,1883,0,1
2,Payment,1707787016.175018,1567,0,1
2,Payment,1707787016.176602,1889,0,1
1,NewOrder,1707787016.178512,5893,0,1
2,Payment,1707787016.184428,1789,0,1
2,Payment,1707787016.186236,1411,0,1
2,Payment,1707787016.187724,1367,0,1
2,Payment,1707787016.189106,1412,0,1
3,OrderStatus,1707787016.190533,1503,0,1
2,Payment,1707787016.192050,1884,0,1
2,Payment,1707787016.193951,1464,0,1
2,Payment,1707787016.195432,1377,0,1
4,Delivery,1707787016.196823,12995,0,1
2,Payment,1707787016.209841,1846,0,1
1,NewOrder,1707787016.211706,6204,0,1
1,NewOrder,1707787016.217930,6312,0,1
1,NewOrder,1707787016.224269,5449,0,1
2,Payment,1707787016.229742,1816,0,1
2,Payment,1707787016.231580,1469,0,1
2,Payment,1707787016.233066,1434,0,1
1,NewOrder,1707787016.234517,3683,0,1
2,Payment,1707787016.238278,1710,0,1
1,NewOrder,1707787016.240006,8814,0,1
1,NewOrder,1707787016.248845,3344,0,1
1,NewOrder,1707787016.252209,4221,0,1
2,Payment,1707787016.256454,1744,0,1
1,NewOrder,1707787016.258217,5506,0,1
1,NewOrder,1707787016.263801,6257,0,1
2,Payment,1707787016.270086,1776,0,1
1,NewOrder,1707787016.271886,4592,0,1
2,Payment,1707787016.276503,2105,0,1
1,NewOrder,1707787016.278627,3936,0,1
3,OrderStatus,1707787016.282649,1605,0,1
1,NewOrder,1707787016.284333,7272,0,1
2,Payment,1707787016.291693,1851,0,1
1,NewOrder,1707787016.293567,7155,0,1
2,Payment,1707787016.300747,1687,0,1
2,Payment,1707787016.302454,1561,0,1
4,Delivery,1707787016.304030,14598,0,1
1,NewOrder,1707787016.318770,5048,0,1
1,NewOrder,1707787016.323841,6761,0,1
1,NewOrder,1707787016.330629,4595,0,1
2,Payment,1707787016.335246,1784,0,1
1,NewOrder,1707787016.337046,6225,0,1
2,Payment,1707787016.343293,1711,0,1
2,Payment,1707787016.345022,1419,0,1
1,NewOrder,1707787016.346457,5430,0,1
2,Payment,1707787016.351904,1608,0,1
2,Payment,1707787016.353526,1625,0,1
2,Payment,1707787016.355167,1432,0,1
2,Payment,1707787016.356614,1541,0,1
2,Payment,1707787016.358170,1453,0,1
2,Payment,1707787016.359639,1342,0,1
1,NewOrder,1707787016.361037,3189,0,1
1,NewOrder,1707787016.364263,4122,0,1
2,Payment,1707787016.368405,1676,0,1
1,NewOrder,1707787016.370096,4497,0,1
2,Payment,1707787016.374609,1558,0,1
1,NewOrder,1707787016.376178,5241,0,1
2,Payment,1707787016.381438,1860,0,1
1,NewOrder,1707787016.383315,5824,0,1
2,Payment,1707787016.389159,1639,0,1
2,Payment,1707787016.390815,1579,0,1
1,NewOrder,1707787016.392468,5526,0,1
1,NewOrder,1707787016.398011,4305,0,1
1,NewOrder,1707787016.402335,12744,0,1
1,NewOrder,1707787016.415102,6464,0,1
2,Payment,1707787016.421588,2018,0,1
1,NewOrder,1707787016.423624,6350,0,1
2,Payment,1707787016.429993,1673,0,1
4,Delivery,1707787016.431682,12809,0,1
1,NewOrder,1707787016.444511,6734,0,1
2,Payment,1707787016.451266,2025,0,1
2,Payment,1707787016.453308,1564,0,1
1,NewOrder,1707787016.454886,3664,0,1
1,NewOrder,1707787016.458566,4475,0,1
2,Payment,1707787016.463057,2090,0,1
2,Payment,1707787016.465165,1790,0,1
1,NewOrder,1707787016.466968,5084,0,1
2,Payment,1707787016.472071,1841,0,1
1,NewOrder,1707787016.473928,4548,0,1
1,NewOrder,1707787016.478494,5057,0,1
2,Payment,1707787016.483569,1555,0,1
3,OrderStatus,1707787016.485138,3505,0,1
1,NewOrder,1707787016.488660,7413,0,1
1,NewOrder,1707787016.496096,6781,0,1
1,NewOrder,1707787016.502897,4124,0,1
3,OrderStatus,1707787016.507042,1728,0,1
2,Payment,1707787016.508793,1690,0,1
1,NewOrder,1707787016.510528,5558,0,1
1,NewOrder,1707787016.516129,6188,0,1
1,NewOrder,1707787016.522336,5873,0,1
1,NewOrder,1707787016.528228,4072,0,1
2,Payment,1707787016.532319,2680,0,1
1,NewOrder,1707787016.535016,6138,0,1
2,Payment,1707787016.541174,1856,0,1
2,Payment,1707787016.543048,1925,0,1
1,NewOrder,1707787016.544987,4934,0,1
4,Delivery,1707787016.549939,17287,0,1
2,Payment,1707787016.567246,1738,0,1
1,NewOrder,1707787016.568997,5419,0,1
2,Payment,1707787016.574436,1856,0,1
2,Payment,1707787016.576308,3410,0,1
1,NewOrder,1707787016.579736,3804,0,1
1,NewOrder,1707787016.583559,7884,0,1
1,NewOrder,1707787016.591462,5289,0,1
2,Payment,1707787016.596782,1919,0,1
1,NewOrder,1707787016.598737,10129,0,1
1,NewOrder,1707787016.608920,6165,0,1
1,NewOrder,1707787016.615105,7121,0,1
2,Payment,1707787016.622246,1590,0,1
1,NewOrder,1707787016.623853,8388,0,1
2,Payment,1707787016.632263,1942,0,1
4,Delivery,1707787016.634222,17687,0,1
1,NewOrder,1707787016.651929,5654,0,1
2,Payment,1707787016.657606,2211,0,1
2,Payment,1707787016.659834,2139,0,1
2,Payment,1707787016.661990,2510,0,1
2,Payment,1707787016.664520,1928,0,1
1,NewOrder,1707787016.666466,7488,0,1
1,NewOrder,1707787016.673976,10125,0,1
2,Payment,1707787016.684124,2892,0,1
1,NewOrder,1707787016.687036,8468,0,1
2,Payment,1707787016.695527,2288,0,1
2,Payment,1707787016.697833,2109,0,1
1,NewOrder,1707787016.699962,5396,0,1
1,NewOrder,1707787016.705380,6891,0,1
1,NewOrder,1707787016.712293,4646,0,1
2,Payment,1707787016.716960,2217,0,1
1,NewOrder,1707787016.719196,9064,0,1
1,NewOrder,1707787016.728284,8284,0,1
1,NewOrder,1707787016.736590,6303,0,1
1,NewOrder,1707787016.742915,6597,0,1
1,NewOrder,1707787016.749534,4729,0,1
