Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.600,9.746,5.497,6.078,6.700,12.633,15.534,20.221,25.075,25.075,0.103
5,21.800,6.715,5.268,5.691,5.811,6.134,11.411,11.810,13.583,14.325,0.149
10,19.200,7.145,5.294,5.718,5.948,6.813,11.718,12.969,13.289,13.289,0.140
15,19.800,6.934,5.187,5.514,5.725,6.058,11.217,12.614,13.207,13.207,0.144
20,21.800,6.549,5.370,5.681,5.849,6.034,11.007,11.686,13.128,13.731,0.153
25,19.400,6.536,5.278,5.603,5.707,5.949,11.474,12.698,17.741,17.741,0.153
30,22.200,6.348,5.327,5.736,5.915,6.154,6.815,9.391,12.448,16.855,0.158
35,21.200,6.666,5.193,5.581,5.707,6.019,11.095,12.502,14.249,18.401,0.150
40,19.200,6.937,5.318,5.564,5.757,7.143,11.455,11.697,12.922,12.922,0.144
45,24.600,5.928,5.253,5.578,5.677,5.900,6.166,6.444,12.807,13.124,0.169
50,23.200,6.292,5.148,5.631,5.841,6.101,6.582,11.267,13.859,15.445,0.159
55,17.600,6.650,5.159,5.505,5.600,5.874,11.280,13.115,14.597,14.597,0.150
