Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.000,1.076,0.386,0.483,0.759,1.292,2.169,2.893,5.959,5.959,0.930
5,19.800,0.570,0.332,0.374,0.410,0.582,0.809,0.873,5.287,5.287,1.753
10,25.000,0.553,0.270,0.330,0.365,0.444,0.773,1.058,3.185,9.018,1.808
15,20.200,0.448,0.290,0.342,0.363,0.432,0.684,0.793,0.910,2.721,2.233
20,21.200,0.401,0.294,0.326,0.347,0.419,0.674,0.735,0.850,0.851,2.492
25,19.000,0.412,0.260,0.320,0.341,0.416,0.606,0.776,1.906,1.906,2.424
30,21.800,0.362,0.261,0.305,0.326,0.368,0.467,0.576,0.749,0.952,2.766
35,22.400,0.338,0.266,0.307,0.330,0.356,0.387,0.426,0.529,0.703,2.956
40,24.200,0.357,0.251,0.303,0.322,0.348,0.399,0.533,0.928,2.195,2.803
45,22.400,0.379,0.283,0.313,0.330,0.362,0.586,0.752,0.794,0.964,2.640
50,20.800,0.383,0.253,0.314,0.347,0.391,0.522,0.640,0.791,0.858,2.614
55,22.600,0.371,0.267,0.307,0.329,0.362,0.582,0.640,0.758,0.886,2.696
