Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.800,8.344,5.586,6.042,7.371,10.079,12.522,14.957,21.230,21.230,0.120
5,19.800,7.473,5.388,5.766,5.969,6.748,12.820,13.760,25.495,25.495,0.134
10,15.800,7.308,5.297,5.671,5.921,8.387,11.836,12.632,25.415,25.415,0.137
15,18.800,7.166,5.304,5.559,5.675,6.148,12.606,14.328,17.963,17.963,0.140
20,20.200,6.871,5.370,5.614,5.784,6.120,11.438,12.352,13.642,15.499,0.146
25,21.400,6.616,5.343,5.685,5.838,6.121,8.800,13.486,13.876,14.231,0.151
30,20.200,6.188,5.410,5.644,5.733,5.985,6.655,11.009,12.796,12.988,0.162
35,21.000,6.716,5.322,5.575,5.680,5.968,11.502,11.874,13.279,14.214,0.149
40,19.600,6.043,5.129,5.513,5.608,5.835,6.552,8.843,13.453,13.453,0.165
45,21.400,6.225,5.319,5.552,5.738,6.003,7.217,11.094,12.742,13.188,0.161
50,20.200,7.257,5.185,5.478,5.691,8.821,10.956,11.642,14.442,15.691,0.138
55,22.200,6.661,5.139,5.464,5.586,5.928,11.436,12.696,14.622,14.666,0.150
