Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,163.600,3.683,1.121,2.399,3.200,4.408,6.084,7.064,10.267,20.709,0.272
5,136.200,4.730,1.534,3.257,4.326,5.937,7.425,8.262,10.447,14.624,0.211
10,120.400,5.438,1.505,3.144,4.577,7.088,9.385,10.944,14.031,21.127,0.184
15,154.200,4.187,1.139,2.658,3.323,4.984,6.790,8.175,12.851,95.693,0.239
20,151.200,4.128,1.102,2.550,3.334,4.970,6.863,8.544,13.718,40.689,0.242
25,184.000,3.570,1.161,2.303,2.968,4.307,6.395,7.434,9.421,11.862,0.280
30,163.400,3.987,0.986,2.246,2.969,4.851,7.548,9.449,13.308,21.065,0.251
35,125.400,5.281,1.416,3.153,4.586,6.572,8.633,10.508,14.297,22.339,0.189
40,130.600,4.953,1.519,3.141,4.396,6.092,7.949,9.249,14.274,45.774,0.202
45,161.800,3.831,1.495,2.544,3.379,4.650,6.101,7.021,9.916,17.967,0.261
50,160.200,3.902,0.966,2.435,3.234,4.897,6.615,7.450,11.314,25.732,0.256
55,202.400,3.234,1.085,2.047,2.683,3.491,6.028,6.951,8.446,9.915,0.309
