Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,142.000,1.559,0.650,0.897,1.405,1.780,2.190,2.673,5.430,36.352,0.641
5,181.800,1.042,0.659,0.740,0.803,0.963,1.663,1.891,2.918,19.180,0.960
10,207.400,0.913,0.635,0.720,0.769,0.872,1.524,1.737,1.959,5.682,1.096
15,219.000,0.852,0.630,0.712,0.755,0.828,1.122,1.496,1.713,9.802,1.174
20,195.600,0.932,0.625,0.719,0.775,0.898,1.492,1.668,2.021,11.764,1.073
25,221.600,0.852,0.629,0.707,0.750,0.808,0.980,1.451,1.810,19.420,1.173
30,202.200,0.854,0.607,0.695,0.736,0.832,1.396,1.522,1.806,2.392,1.172
35,219.400,0.806,0.612,0.687,0.724,0.789,0.965,1.475,1.879,4.925,1.241
40,214.800,0.828,0.614,0.678,0.718,0.792,1.258,1.515,1.890,9.598,1.207
45,184.000,0.946,0.619,0.725,0.777,0.883,1.381,1.749,2.472,29.457,1.057
50,227.600,0.824,0.644,0.721,0.760,0.812,0.903,1.174,1.779,10.391,1.213
55,201.400,0.912,0.662,0.740,0.788,0.879,1.227,1.745,2.206,10.338,1.097
