Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1710878518.883903,16916,0,1
1,NewOrder,1710878518.900956,10014,0,1
2,Payment,1710878518.910989,3533,0,1
2,Payment,1710878518.914539,3199,0,1
1,NewOrder,1710878518.917755,7496,0,1
2,Payment,1710878518.925272,3073,0,1
1,NewOrder,1710878518.928364,5983,0,1
1,NewOrder,1710878518.934366,10416,0,1
2,Payment,1710878518.944803,4144,0,1
4,Delivery,1710878518.948965,27328,0,1
2,Payment,1710878518.976312,3870,0,1
2,Payment,1710878518.980206,2647,0,1
2,Payment,1710878518.982925,4206,0,1
1,NewOrder,1710878518.987150,18159,0,1
1,NewOrder,1710878519.005333,6503,0,1
1,NewOrder,1710878519.011858,4904,0,1
1,NewOrder,1710878519.016784,5000,0,1
5,StockLevel,1710878519.021805,2877,0,1
1,NewOrder,1710878519.024701,7055,0,1
1,NewOrder,1710878519.031776,5170,0,1
2,Payment,1710878519.036966,2065,0,1
1,NewOrder,1710878519.039047,4712,0,1
1,NewOrder,1710878519.043778,7383,0,1
2,Payment,1710878519.051185,2754,0,1
1,NewOrder,1710878519.053962,8076,0,1
1,NewOrder,1710878519.062060,6095,0,1
1,NewOrder,1710878519.068175,5476,0,1
2,Payment,1710878519.073672,2257,0,1
2,Payment,1710878519.075948,2022,0,1
2,Payment,1710878519.077988,1856,0,1
5,StockLevel,1710878519.079861,2175,0,1
1,NewOrder,1710878519.082299,6764,0,1
1,NewOrder,1710878519.089088,6066,0,1
1,NewOrder,1710878519.095172,7797,0,1
2,Payment,1710878519.102993,1974,0,1
1,NewOrder,1710878519.104988,3586,0,1
1,NewOrder,1710878519.108599,3817,0,1
2,Payment,1710878519.112438,1775,0,1
1,NewOrder,1710878519.114232,7442,0,1
3,OrderStatus,1710878519.121696,2329,0,1
2,Payment,1710878519.124045,1941,0,1
1,NewOrder,1710878519.126003,6849,0,1
1,NewOrder,1710878519.132874,7750,0,1
1,NewOrder,1710878519.140659,6134,0,1
4,Delivery,1710878519.146825,15242,0,1
2,Payment,1710878519.162089,2224,0,1
2,Payment,1710878519.164334,1926,0,1
2,Payment,1710878519.166280,2830,0,1
1,NewOrder,1710878519.169130,5259,0,1
2,Payment,1710878519.174412,2728,0,1
1,NewOrder,1710878519.177160,4210,0,1
1,NewOrder,1710878519.181394,11935,0,1
2,Payment,1710878519.193354,1712,0,1
1,NewOrder,1710878519.195089,5598,0,1
3,OrderStatus,1710878519.200710,1463,0,1
2,Payment,1710878519.202191,2191,0,1
1,NewOrder,1710878519.204401,3943,0,1
2,Payment,1710878519.208364,2257,0,1
1,NewOrder,1710878519.210640,5914,0,1
1,NewOrder,1710878519.216577,4290,0,1
2,Payment,1710878519.220891,1862,0,1
2,Payment,1710878519.222772,1772,0,1
2,Payment,1710878519.224563,1656,0,1
2,Payment,1710878519.226237,1650,0,1
2,Payment,1710878519.227909,1669,0,1
2,Payment,1710878519.229597,1479,0,1
2,Payment,1710878519.231094,1956,0,1
2,Payment,1710878519.233071,1644,0,1
1,NewOrder,1710878519.234734,6362,0,1
1,NewOrder,1710878519.241125,6653,0,1
1,NewOrder,1710878519.247801,6501,0,1
2,Payment,1710878519.254325,2010,0,1
1,NewOrder,1710878519.256352,6468,0,1
2,Payment,1710878519.262859,2426,0,1
2,Payment,1710878519.265318,2427,0,1
1,NewOrder,1710878519.267767,6827,0,1
3,OrderStatus,1710878519.274615,3116,0,1
1,NewOrder,1710878519.277782,4057,0,1
2,Payment,1710878519.281869,1845,0,1
2,Payment,1710878519.283731,2104,0,1
1,NewOrder,1710878519.285852,7303,0,1
1,NewOrder,1710878519.293185,5812,0,1
2,Payment,1710878519.299019,2092,0,1
2,Payment,1710878519.301129,1574,0,1
2,Payment,1710878519.302716,2327,0,1
1,NewOrder,1710878519.305064,6754,0,1
2,Payment,1710878519.311843,1988,0,1
1,NewOrder,1710878519.313847,7760,0,1
1,NewOrder,1710878519.321632,4079,0,1
1,NewOrder,1710878519.325733,7770,0,1
2,Payment,1710878519.333529,2204,0,1
1,NewOrder,1710878519.335752,8486,0,1
2,Payment,1710878519.344263,1833,0,1
2,Payment,1710878519.346112,2221,0,1
1,NewOrder,1710878519.348351,6792,0,1
5,StockLevel,1710878519.355167,1916,0,1
1,NewOrder,1710878519.357107,5442,0,1
2,Payment,1710878519.362582,3024,0,1
2,Payment,1710878519.365631,2493,0,1
2,Payment,1710878519.368143,1822,0,1
1,NewOrder,1710878519.369985,4540,0,1
1,NewOrder,1710878519.374546,7381,0,1
1,NewOrder,1710878519.381950,6866,0,1
1,NewOrder,1710878519.388840,5093,0,1
2,Payment,1710878519.393957,1749,0,1
2,Payment,1710878519.395725,2212,0,1
2,Payment,1710878519.397955,2547,0,1
1,NewOrder,1710878519.400521,5510,0,1
2,Payment,1710878519.406055,2130,0,1
2,Payment,1710878519.408203,1916,0,1
2,Payment,1710878519.410136,2160,0,1
2,Payment,1710878519.412313,1975,0,1
1,NewOrder,1710878519.414302,5255,0,1
2,Payment,1710878519.419577,4911,0,1
5,StockLevel,1710878519.424508,1827,0,1
2,Payment,1710878519.426353,2017,0,1
1,NewOrder,1710878519.428391,7179,0,1
2,Payment,1710878519.435594,2587,0,1
1,NewOrder,1710878519.438201,6323,0,1
1,NewOrder,1710878519.444547,3754,0,1
2,Payment,1710878519.448321,2166,0,1
1,NewOrder,1710878519.450508,6250,0,1
1,NewOrder,1710878519.456780,4678,0,1
1,NewOrder,1710878519.461480,4612,0,1
4,Delivery,1710878519.466114,15457,0,1
2,Payment,1710878519.481595,3065,0,1
2,Payment,1710878519.484687,2917,0,1
2,Payment,1710878519.487652,2007,0,1
1,NewOrder,1710878519.489700,8444,0,1
2,Payment,1710878519.498189,2592,0,1
1,NewOrder,1710878519.500804,4705,0,1
2,Payment,1710878519.505531,2200,0,1
1,NewOrder,1710878519.507752,8303,0,1
1,NewOrder,1710878519.516079,5643,0,1
1,NewOrder,1710878519.521745,7303,0,1
1,NewOrder,1710878519.529072,8540,0,1
2,Payment,1710878519.537636,1758,0,1
2,Payment,1710878519.539413,1874,0,1
1,NewOrder,1710878519.541304,5304,0,1
4,Delivery,1710878519.546628,15894,0,1
5,StockLevel,1710878519.562545,2649,0,1
1,NewOrder,1710878519.565328,9588,0,1
3,OrderStatus,1710878519.574940,2032,0,1
1,NewOrder,1710878519.576989,6019,0,1
2,Payment,1710878519.583033,2018,0,1
2,Payment,1710878519.585070,1821,0,1
1,NewOrder,1710878519.586909,6132,0,1
2,Payment,1710878519.593065,1850,0,1
1,NewOrder,1710878519.594936,5283,0,1
1,NewOrder,1710878519.600241,6665,0,1
1,NewOrder,1710878519.606930,9513,0,1
1,NewOrder,1710878519.616468,5562,0,1
2,Payment,1710878519.622053,1741,0,1
1,NewOrder,1710878519.623813,7838,0,1
1,NewOrder,1710878519.631675,7832,0,1
2,Payment,1710878519.639563,1933,0,1
4,Delivery,1710878519.641515,15654,0,1
2,Payment,1710878519.657191,2009,0,1
2,Payment,1710878519.659220,1767,0,1
2,Payment,1710878519.661004,1807,0,1
1,NewOrder,1710878519.662829,5771,0,1
2,Payment,1710878519.668623,1972,0,1
1,NewOrder,1710878519.670617,7092,0,1
1,NewOrder,1710878519.677735,4701,0,1
2,Payment,1710878519.682458,2159,0,1
2,Payment,1710878519.684639,3363,0,1
1,NewOrder,1710878519.688026,4809,0,1
1,NewOrder,1710878519.692858,4791,0,1
2,Payment,1710878519.697674,2285,0,1
3,OrderStatus,1710878519.699981,1934,0,1
2,Payment,1710878519.701934,1906,0,1
1,NewOrder,1710878519.703856,6046,0,1
1,NewOrder,1710878519.709925,5841,0,1
2,Payment,1710878519.715789,1839,0,1
1,NewOrder,1710878519.717648,7599,0,1
1,NewOrder,1710878519.725273,7975,0,1
2,Payment,1710878519.733276,3816,0,1
2,Payment,1710878519.737120,1981,0,1
1,NewOrder,1710878519.739125,7511,0,1
1,NewOrder,1710878519.746663,5131,0,1
1,NewOrder,1710878519.751817,6310,0,1
2,Payment,1710878519.758153,2036,0,1
2,Payment,1710878519.760213,1915,0,1
2,Payment,1710878519.762149,1756,0,1
2,Payment,1710878519.763922,1816,0,1
1,NewOrder,1710878519.765758,6986,0,1
2,Payment,1710878519.772768,1929,0,1
1,NewOrder,1710878519.774718,9036,0,1
2,Payment,1710878519.783783,2972,0,1
1,NewOrder,1710878519.786780,5655,0,1
2,Payment,1710878519.792463,2259,0,1
5,StockLevel,1710878519.794746,2131,0,1
1,NewOrder,1710878519.796904,7085,0,1
1,NewOrder,1710878519.804016,9352,0,1
2,Payment,1710878519.813395,2442,0,1
1,NewOrder,1710878519.815857,8974,0,1
2,Payment,1710878519.824855,1841,0,1
2,Payment,1710878519.826772,1851,0,1
2,Payment,1710878519.828660,1718,0,1
2,Payment,1710878519.830392,2269,0,1
1,NewOrder,1710878519.832682,4447,0,1
2,Payment,1710878519.837150,2546,0,1
2,Payment,1710878519.839717,1566,0,1
2,Payment,1710878519.841298,1891,0,1
1,NewOrder,1710878519.843204,6337,0,1
2,Payment,1710878519.849560,2074,0,1
5,StockLevel,1710878519.851652,1842,0,1
1,NewOrder,1710878519.853512,7319,0,1
2,Payment,1710878519.860855,2041,0,1
1,NewOrder,1710878519.862912,6771,0,1
4,Delivery,1710878519.869705,17500,0,1
5,StockLevel,1710878519.887228,2173,0,1
1,NewOrder,1710878519.889417,7631,0,1
1,NewOrder,1710878519.897069,4344,0,1
1,NewOrder,1710878519.901434,8850,0,1
2,Payment,1710878519.910308,5101,0,1
5,StockLevel,1710878519.915431,1625,0,1
2,Payment,1710878519.917075,2618,0,1
3,OrderStatus,1710878519.919716,2296,0,1
1,NewOrder,1710878519.922029,5437,0,1
1,NewOrder,1710878519.927489,6273,0,1
1,NewOrder,1710878519.933783,4711,0,1
4,Delivery,1710878519.938513,16087,0,1
1,NewOrder,1710878519.954624,6189,0,1
2,Payment,1710878519.960834,2897,0,1
2,Payment,1710878519.963750,1690,0,1
4,Delivery,1710878519.965455,13981,0,1
1,NewOrder,1710878519.979460,8019,0,1
4,Delivery,1710878519.987501,20915,0,1
2,Payment,1710878520.008437,1742,0,1
2,Payment,1710878520.010193,2793,0,1
2,Payment,1710878520.013004,1914,0,1
1,NewOrder,1710878520.014934,4498,0,1
2,Payment,1710878520.019451,1727,0,1
2,Payment,1710878520.021193,1505,0,1
2,Payment,1710878520.022711,2480,0,1
5,StockLevel,1710878520.025227,1715,0,1
2,Payment,1710878520.026996,1830,0,1
1,NewOrder,1710878520.028866,6438,0,1
1,NewOrder,1710878520.035323,7417,0,1
1,NewOrder,1710878520.042757,10874,0,1
1,NewOrder,1710878520.053656,8167,0,1
1,NewOrder,1710878520.061846,7153,0,1
1,NewOrder,1710878520.069020,9479,0,1
1,NewOrder,1710878520.078519,7739,0,1
1,NewOrder,1710878520.086279,7986,0,1
2,Payment,1710878520.094284,2127,0,1
1,NewOrder,1710878520.096427,5634,0,1
2,Payment,1710878520.102079,1910,0,1
1,NewOrder,1710878520.104004,7765,0,1
1,NewOrder,1710878520.111788,5235,0,1
1,NewOrder,1710878520.117043,6763,0,1
2,Payment,1710878520.123827,1760,0,1
2,Payment,1710878520.125602,4431,0,1
2,Payment,1710878520.130073,1966,0,1
2,Payment,1710878520.132093,4160,0,1
1,NewOrder,1710878520.136305,6756,0,1
3,OrderStatus,1710878520.143081,1361,0,1
1,NewOrder,1710878520.144458,5433,0,1
2,Payment,1710878520.149911,1495,0,1
2,Payment,1710878520.151420,1508,0,1
4,Delivery,1710878520.152945,12051,0,1
2,Payment,1710878520.165017,1526,0,1
2,Payment,1710878520.166560,1557,0,1
1,NewOrder,1710878520.168131,4933,0,1
2,Payment,1710878520.173085,1476,0,1
2,Payment,1710878520.174576,1472,0,1
2,Payment,1710878520.176061,1394,0,1
2,Payment,1710878520.177466,1349,0,1
5,StockLevel,1710878520.178829,1397,0,1
2,Payment,1710878520.180242,1712,0,1
1,NewOrder,1710878520.181974,5074,0,1
1,NewOrder,1710878520.187070,4873,0,1
3,OrderStatus,1710878520.191965,1198,0,1
2,Payment,1710878520.193176,1470,0,1
2,Payment,1710878520.194658,1411,0,1
2,Payment,1710878520.196083,1516,0,1
4,Delivery,1710878520.197614,12862,0,1
2,Payment,1710878520.210497,1764,0,1
2,Payment,1710878520.212276,1524,0,1
1,NewOrder,1710878520.213812,5451,0,1
5,StockLevel,1710878520.219283,1335,0,1
1,NewOrder,1710878520.220634,4311,0,1
2,Payment,1710878520.224966,2073,0,1
2,Payment,1710878520.227057,1700,0,1
2,Payment,1710878520.228775,1574,0,1
4,Delivery,1710878520.230362,13563,0,1
2,Payment,1710878520.243948,1546,0,1
2,Payment,1710878520.245508,1589,0,1
2,Payment,1710878520.247110,2146,0,1
2,Payment,1710878520.249270,1511,0,1
2,Payment,1710878520.250792,1691,0,1
2,Payment,1710878520.252495,1590,0,1
2,Payment,1710878520.254097,1566,0,1
2,Payment,1710878520.255676,2162,0,1
2,Payment,1710878520.257852,1601,0,1
2,Payment,1710878520.259467,1614,0,1
2,Payment,1710878520.261096,1600,0,1
5,StockLevel,1710878520.262710,1546,0,1
2,Payment,1710878520.264272,2424,0,1
2,Payment,1710878520.266714,1734,0,1
1,NewOrder,1710878520.268464,5059,0,1
1,NewOrder,1710878520.273543,4644,0,1
2,Payment,1710878520.278209,1800,0,1
1,NewOrder,1710878520.280024,5183,0,1
2,Payment,1710878520.285229,1748,0,1
2,Payment,1710878520.286993,1982,0,1
1,NewOrder,1710878520.288994,5172,0,1
2,Payment,1710878520.294189,1764,0,1
1,NewOrder,1710878520.295968,3462,0,1
2,Payment,1710878520.299445,1704,0,1
2,Payment,1710878520.301166,1745,0,1
5,StockLevel,1710878520.302928,2285,0,1
1,NewOrder,1710878520.305233,5679,0,1
2,Payment,1710878520.310932,1859,0,1
