Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.000,2.343,1.315,1.802,2.075,2.764,3.728,4.288,4.306,4.306,0.427
5,15.800,1.690,1.049,1.275,1.390,1.613,2.361,2.885,11.181,11.181,0.592
10,14.200,1.475,1.033,1.251,1.435,1.618,1.779,2.026,3.068,3.068,0.678
15,15.600,1.591,1.112,1.347,1.469,1.679,2.265,2.581,3.143,3.143,0.628
20,15.400,1.667,1.135,1.394,1.556,1.737,2.078,2.344,5.266,5.266,0.600
25,12.800,1.825,1.132,1.522,1.736,1.995,2.398,2.609,4.310,4.310,0.548
30,9.200,2.219,1.231,1.748,1.921,2.421,3.283,4.257,4.574,4.574,0.451
35,7.600,2.577,1.413,1.738,2.197,2.917,3.658,6.476,7.920,7.920,0.388
40,11.800,2.401,1.230,1.580,1.830,2.290,2.670,5.949,21.790,21.790,0.416
45,8.400,2.895,1.298,1.515,2.189,3.968,5.520,5.880,6.429,6.429,0.345
50,14.200,1.713,1.144,1.339,1.434,1.707,2.560,3.009,6.903,6.903,0.584
55,11.200,1.691,1.175,1.351,1.589,1.807,2.426,2.583,4.448,4.448,0.591
