Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,345,345.000,697,1300,2265,2886,3884,4811,8170,10602,16582
1,373,373.000,652,1072,1946,2661,3668,5230,7312,9352,17061
2,248,248.000,739,1551,2983,4016,5360,7968,11477,15946,16967
3,310,310.000,373,1349,2024,3216,4480,6602,8246,13251,14359
4,364,364.000,375,942,2040,2740,3339,5844,6546,12369,16609
5,434,434.000,350,847,1524,2310,2840,5548,6687,12929,17577
6,331,331.000,348,1265,1943,2986,4028,6702,8114,13983,14830
7,484,484.000,362,775,1723,2059,2770,3634,5870,6930,14189
8,495,495.000,312,760,1602,2007,2683,3703,6003,6928,16322
9,357,357.000,352,1326,1761,2786,4103,5741,6429,12112,14965
10,403,403.000,335,809,1737,2478,3097,5613,6577,13392,14091
11,496,496.000,362,747,1660,2003,2584,3704,5852,8746,12371
12,422,422.000,349,802,1598,2355,2923,5465,6419,12463,13704
13,315,315.000,468,1300,1803,3165,4632,6507,9198,12545,17211
14,422,422.000,343,815,1782,2368,2916,5400,6388,9523,14806
15,407,407.000,334,952,1714,2436,3159,5627,6010,11759,12185
16,559,559.000,334,744,1176,1782,2642,3191,3646,6523,15171
17,482,482.000,303,772,1546,2061,2671,4040,5894,12035,12726
18,488,488.000,322,767,1619,2039,2716,4156,5626,7022,11926
19,360,360.000,318,850,1908,2773,3122,6285,7697,13756,19140
20,430,430.000,347,856,1791,2318,3052,5088,6038,8443,13403
21,585,585.000,295,732,1211,1692,2422,3102,3407,5963,13823
22,411,411.000,340,775,1642,2427,3073,5353,6035,13753,14325
23,496,496.000,269,737,1605,2006,2630,4058,5694,8025,14725
24,460,460.000,289,777,1798,2176,2859,4879,5844,7944,12657
25,398,398.000,313,844,1755,2491,3064,5579,6595,12885,14054
26,421,421.000,264,761,1676,2372,2889,5757,6502,12573,14970
27,385,385.000,368,865,1928,2587,3214,5533,6889,12347,16015
28,426,426.000,284,797,1623,2343,2817,5735,6589,12621,15273
29,331,331.000,317,1278,1915,3018,4308,6687,7712,13489,20024
30,329,329.000,324,1284,1831,3041,4111,6949,8205,13764,16065
31,419,419.000,318,777,1722,2376,3141,4898,5791,12524,14606
32,547,547.000,266,707,1272,1813,2535,3217,5701,7292,11037
33,337,337.000,311,1392,1881,2963,3985,6079,7284,13863,14218
34,438,438.000,305,826,1579,2271,3021,4775,5530,11773,12631
35,446,446.000,275,763,1641,2238,2893,5556,6205,7722,12198
36,286,286.000,275,1485,1967,3483,4998,7180,9089,15002,15814
37,486,486.000,297,768,1697,2047,2737,3681,6029,7754,14334
38,367,367.000,311,1145,1727,2715,3500,6104,7243,12996,15582
39,412,412.000,302,800,1747,2431,2994,5888,7032,10192,14562
40,427,427.000,325,835,1756,2322,3066,4969,6447,8175,13861
41,539,539.000,310,719,1326,1853,2557,3296,5651,7136,15011
42,498,498.000,268,708,1491,2002,2530,4135,5931,8619,14598
43,454,454.000,293,736,1702,2188,2721,4679,6043,12341,16602
44,567,567.000,260,710,1341,1764,2595,3202,3524,6053,6373
45,297,297.000,413,1464,1967,3351,5185,6807,7632,12516,13368
46,407,407.000,285,785,1902,2448,2945,5923,6553,13965,14961
47,395,395.000,296,826,1852,2525,3184,5857,6771,14226,15694
48,417,417.000,318,818,2027,2383,3014,5093,6883,8767,11945
49,392,392.000,327,824,1900,2547,3356,5637,6658,14808,15950
50,313,313.000,317,1217,2008,3194,4754,7160,8875,14943,17650
51,264,264.000,451,1689,2073,3780,5882,8200,9165,16038,18212
52,422,422.000,278,813,1872,2355,2955,5219,6501,9638,18749
53,450,450.000,281,801,1576,2211,2926,4660,6458,13013,14157
54,455,455.000,325,800,1776,2193,2991,4093,6208,7360,13820
55,447,447.000,327,789,1812,2233,2960,4031,6099,9101,16273
56,485,485.000,289,789,1504,2049,2755,3629,6182,7448,13433
57,471,471.000,350,826,1900,2117,2993,3761,5326,7694,8433
58,453,453.000,310,829,1837,2194,2912,3673,5891,9413,32871
59,415,415.000,318,822,1853,2394,3012,5812,6839,9300,13492
