Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,331.600,3.001,0.362,1.035,2.214,3.558,6.604,8.046,15.502,27.367,0.333
5,489.800,2.031,0.303,0.781,1.510,2.724,3.578,5.883,8.800,15.258,0.492
10,498.800,1.993,0.325,0.771,1.570,2.718,3.466,5.630,7.092,31.711,0.502
15,536.600,1.856,0.270,0.731,1.516,2.624,3.319,5.339,6.494,13.826,0.539
20,467.200,2.135,0.291,0.747,1.610,2.808,4.674,5.917,9.291,20.886,0.468
25,533.200,1.868,0.270,0.737,1.490,2.634,3.366,4.867,6.581,18.617,0.535
30,460.000,2.166,0.270,0.754,1.631,2.713,4.826,6.191,11.724,14.204,0.462
35,497.600,2.003,0.267,0.721,1.631,2.658,3.501,5.621,8.422,48.439,0.499
40,529.200,1.884,0.274,0.722,1.565,2.625,3.346,5.401,6.891,18.722,0.531
45,530.000,1.879,0.270,0.738,1.606,2.656,3.351,4.983,6.569,13.523,0.532
50,457.000,2.181,0.263,0.818,1.783,2.919,3.830,5.976,8.340,52.102,0.459
55,499.800,1.992,0.311,0.783,1.706,2.797,3.496,5.882,6.858,15.756,0.502
