Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.800,1.232,0.429,0.545,0.832,1.570,2.335,2.783,9.501,9.501,0.811
5,17.400,0.593,0.333,0.433,0.489,0.590,0.957,1.176,2.136,2.136,1.686
10,17.000,0.596,0.334,0.426,0.459,0.550,0.891,1.072,3.841,3.841,1.677
15,14.800,0.570,0.327,0.389,0.427,0.555,0.827,1.473,2.631,2.631,1.754
20,13.200,0.637,0.374,0.476,0.527,0.698,1.018,1.207,1.641,1.641,1.570
25,13.800,0.882,0.346,0.447,0.515,0.679,1.166,1.313,14.551,14.551,1.134
30,14.200,0.664,0.360,0.454,0.499,0.626,1.117,1.492,4.203,4.203,1.505
35,11.200,0.756,0.400,0.514,0.692,0.900,1.221,1.499,1.709,1.709,1.322
40,6.000,0.793,0.437,0.542,0.659,1.000,1.326,1.698,1.922,1.922,1.262
45,8.000,0.779,0.439,0.497,0.585,0.731,1.284,2.930,3.231,3.231,1.284
50,12.800,0.662,0.401,0.455,0.485,0.604,0.956,0.995,6.731,6.731,1.511
55,12.600,0.546,0.390,0.441,0.468,0.507,0.630,0.892,3.249,3.249,1.830
