Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,258,258.000,988,1678,2562,3851,4747,7248,9575,16902,26855
1,438,438.000,539,963,2064,2273,3090,3864,4871,7372,13398
2,547,547.000,356,758,1121,1820,2537,3294,5671,6390,12758
3,472,472.000,348,754,1633,2107,2732,3946,5929,9003,19068
4,399,399.000,305,798,1629,2499,3184,5618,6168,11790,19551
5,547,547.000,302,684,1354,1819,2460,3239,5325,6648,11993
6,296,296.000,723,1362,3102,3383,4698,6033,10967,12431,13195
7,354,354.000,330,1291,1849,2812,3908,5591,6531,12088,12994
8,546,546.000,318,673,1437,1822,2509,3174,5288,7397,14975
9,323,323.000,347,1248,1789,3093,4353,6297,10489,13102,13768
10,502,502.000,346,766,1415,1980,2622,4310,5554,6336,9583
11,470,470.000,318,707,1556,2117,2557,5059,6230,8621,13777
12,362,362.000,342,900,1773,2740,3157,5942,7403,13906,15314
13,341,341.000,494,1277,1781,2906,4185,5704,6677,11400,12201
14,533,533.000,289,699,1520,1868,2437,3321,5360,6296,13312
15,354,354.000,316,1214,1623,2806,4165,6159,7102,12646,16036
16,333,333.000,317,1297,1695,2995,4513,6038,6812,12688,14308
17,325,325.000,357,1334,1865,3066,4581,6435,7339,12920,15677
18,366,366.000,322,802,1750,2737,3546,6170,7259,13184,16146
19,396,396.000,306,789,1797,2512,3008,5501,6971,13623,15469
20,404,404.000,307,889,1627,2474,3100,5488,6400,12726,15929
21,263,263.000,705,1520,1927,3786,5733,7120,7823,13425,14007
22,262,262.000,702,1431,3245,3813,5541,7057,11027,13891,15430
23,318,318.000,307,1307,1922,3136,4690,5999,7373,11780,14910
24,448,448.000,254,723,1591,2229,2771,5426,6255,8395,13611
25,415,415.000,320,787,1719,2418,2731,5759,7176,12494,14242
26,291,291.000,614,1318,3100,3408,4989,6287,6897,11802,12147
27,489,489.000,301,704,1539,2042,2736,4966,5611,7593,12272
28,404,404.000,299,790,1769,2466,3083,5526,6568,12454,15268
29,474,474.000,266,709,1622,2105,2718,4968,5697,8195,13960
30,372,372.000,283,1188,1747,2680,3676,5561,7790,12567,13537
31,233,233.000,337,1564,2384,4290,5665,10148,13653,22116,29814
32,277,277.000,349,1059,2418,3596,5116,8225,10649,14960,16656
33,227,227.000,432,1430,2585,4383,5613,8917,13874,24049,27132
34,272,272.000,316,1356,2302,3661,5144,7107,10950,17549,30992
35,299,299.000,340,1340,2168,3327,4151,7887,10071,15636,17238
36,463,463.000,317,746,1704,2156,2759,4517,5882,10257,16004
37,366,366.000,303,1099,1617,2716,3780,6172,7279,13277,14102
38,394,394.000,297,985,1605,2535,3045,5764,6962,13339,14759
39,392,392.000,305,1016,1825,2544,3187,5375,6653,11651,14766
40,282,282.000,439,1347,2932,3529,4998,6502,10353,14100,17582
41,250,250.000,674,1568,3566,3997,5989,7494,8137,13413,15407
42,298,298.000,589,1385,1902,3350,5115,6413,7354,12967,15721
43,522,522.000,276,689,1444,1916,2499,3383,5261,10992,13153
44,480,480.000,267,666,1507,2087,2680,5222,5764,11725,13198
45,246,246.000,595,1548,3326,4039,6184,7785,8739,13525,13779
46,449,449.000,282,710,1574,2242,2709,5316,6398,12674,15163
47,360,360.000,291,1298,1713,2737,4067,6285,7196,11871,13606
48,285,285.000,299,1559,1842,3504,5448,7357,8618,14286,15618
49,247,247.000,602,1568,2566,4055,6068,7858,8535,14481,15151
50,269,269.000,586,1500,1911,3708,5609,7506,8151,13508,14589
51,381,381.000,312,880,1768,2615,3113,5839,7210,13283,14464
52,505,505.000,312,745,1455,1974,2635,3783,5626,8827,13238
53,359,359.000,304,1018,1955,2774,3982,5966,7323,9995,16575
54,426,426.000,294,753,1778,2352,2993,5560,6036,7607,13825
55,298,298.000,302,1377,2482,3352,5202,6423,7089,12809,15147
56,470,470.000,282,723,1770,2111,2557,4479,6051,8687,13288
57,310,310.000,283,1315,1800,3222,5074,6606,7496,12725,13277
58,422,422.000,302,715,1672,2365,2805,5611,6960,12698,13855
59,622,622.000,284,658,1110,1599,2251,2970,5210,5518,6822
