Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.200,8.604,5.569,5.834,6.313,12.062,14.737,17.127,21.452,21.452,0.116
5,14.800,9.529,5.385,5.862,11.272,12.012,12.892,13.986,22.791,22.791,0.105
10,12.000,9.536,5.491,6.165,7.898,13.400,15.434,16.880,19.798,19.798,0.105
15,13.600,8.291,5.281,5.717,6.108,11.914,13.330,14.268,18.517,18.517,0.121
20,18.800,6.698,5.265,5.447,5.647,6.192,11.096,11.421,14.792,14.792,0.149
25,20.600,6.500,5.123,5.459,5.629,5.956,11.001,11.490,12.206,12.809,0.154
30,22.600,6.727,5.258,5.508,5.717,6.051,11.110,14.153,16.290,16.760,0.149
35,19.400,6.758,5.249,5.489,5.596,6.045,11.100,12.976,20.405,20.405,0.148
40,22.000,6.029,5.182,5.433,5.585,5.839,6.549,9.975,12.796,13.408,0.166
45,22.200,6.728,5.232,5.439,5.585,5.888,11.397,12.881,13.435,14.025,0.149
50,25.000,6.032,5.263,5.449,5.629,5.892,6.171,7.478,13.283,14.645,0.166
55,26.200,5.761,5.100,5.334,5.460,5.650,6.125,6.868,11.103,11.591,0.174
