Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1710603303.770792,23256,0,1
2,Payment,1710603303.794177,6116,0,1
1,NewOrder,1710603303.800311,6765,0,1
1,NewOrder,1710603303.807093,10400,0,1
2,Payment,1710603303.817512,2982,0,1
2,Payment,1710603303.820633,3340,0,1
1,NewOrder,1710603303.823991,8520,0,1
2,Payment,1710603303.832529,3368,0,1
1,NewOrder,1710603303.835978,7719,0,1
2,Payment,1710603303.843716,2964,0,1
1,NewOrder,1710603303.846696,6513,0,1
5,StockLevel,1710603303.853227,2971,0,1
1,NewOrder,1710603303.856214,9578,0,1
2,Payment,1710603303.865809,3377,0,1
2,Payment,1710603303.869257,7225,0,1
3,OrderStatus,1710603303.876509,3768,0,1
2,Payment,1710603303.880296,2466,0,1
5,StockLevel,1710603303.882778,2127,0,1
1,NewOrder,1710603303.884969,6285,0,1
2,Payment,1710603303.891275,3124,0,1
1,NewOrder,1710603303.894420,8974,0,1
1,NewOrder,1710603303.903413,7165,0,1
2,Payment,1710603303.910599,13191,0,1
4,Delivery,1710603303.923810,20581,0,1
2,Payment,1710603303.944412,2035,0,1
2,Payment,1710603303.946464,1912,0,1
1,NewOrder,1710603303.948436,6658,0,1
2,Payment,1710603303.955113,2134,0,1
2,Payment,1710603303.957264,1890,0,1
2,Payment,1710603303.959175,2391,0,1
1,NewOrder,1710603303.961584,7188,0,1
2,Payment,1710603303.968791,2480,0,1
1,NewOrder,1710603303.971287,4794,0,1
4,Delivery,1710603303.976191,14796,0,1
1,NewOrder,1710603303.991008,9797,0,1
1,NewOrder,1710603304.000829,5871,0,1
2,Payment,1710603304.006750,1881,0,1
4,Delivery,1710603304.008646,14441,0,1
4,Delivery,1710603304.023137,12543,0,1
2,Payment,1710603304.035725,2935,0,1
2,Payment,1710603304.038678,1741,0,1
1,NewOrder,1710603304.040435,3232,0,1
1,NewOrder,1710603304.043689,5720,0,1
1,NewOrder,1710603304.049446,2404,0,1
2,Payment,1710603304.051885,1110,0,1
2,Payment,1710603304.053010,1018,0,1
1,NewOrder,1710603304.054043,3351,0,1
2,Payment,1710603304.057413,1007,0,1
2,Payment,1710603304.058438,957,0,1
2,Payment,1710603304.059410,1086,0,1
1,NewOrder,1710603304.060534,3109,0,1
2,Payment,1710603304.063664,1805,0,1
1,NewOrder,1710603304.065494,4079,0,1
2,Payment,1710603304.069598,1564,0,1
2,Payment,1710603304.071200,1424,0,1
2,Payment,1710603304.072642,1209,0,1
2,Payment,1710603304.073869,1330,0,1
1,NewOrder,1710603304.075220,2842,0,1
5,StockLevel,1710603304.078083,1975,0,1
2,Payment,1710603304.080079,1308,0,1
2,Payment,1710603304.081404,1179,0,1
2,Payment,1710603304.082601,1119,0,1
1,NewOrder,1710603304.083737,3895,0,1
2,Payment,1710603304.087654,1094,0,1
3,OrderStatus,1710603304.089133,3008,0,1
2,Payment,1710603304.092163,1266,0,1
2,Payment,1710603304.093451,1417,0,1
2,Payment,1710603304.094888,4189,0,1
2,Payment,1710603304.099101,1405,0,1
2,Payment,1710603304.100527,1050,0,1
2,Payment,1710603304.101593,1336,0,1
4,Delivery,1710603304.102946,9404,0,1
1,NewOrder,1710603304.112376,4444,0,1
1,NewOrder,1710603304.117000,2424,0,1
2,Payment,1710603304.119458,1082,0,1
1,NewOrder,1710603304.120558,7147,0,1
2,Payment,1710603304.127730,2096,0,1
1,NewOrder,1710603304.129851,3834,0,1
2,Payment,1710603304.133710,1216,0,1
1,NewOrder,1710603304.134947,3232,0,1
2,Payment,1710603304.138201,2806,0,1
2,Payment,1710603304.141032,2013,0,1
2,Payment,1710603304.143068,1730,0,1
2,Payment,1710603304.144830,3769,0,1
1,NewOrder,1710603304.148633,2848,0,1
1,NewOrder,1710603304.151505,4371,0,1
1,NewOrder,1710603304.155900,2373,0,1
1,NewOrder,1710603304.158295,3038,0,1
1,NewOrder,1710603304.161356,4461,0,1
1,NewOrder,1710603304.165840,3345,0,1
1,NewOrder,1710603304.169210,3443,0,1
1,NewOrder,1710603304.172674,4321,0,1
1,NewOrder,1710603304.177021,4664,0,1
2,Payment,1710603304.181712,1230,0,1
1,NewOrder,1710603304.182963,4718,0,1
1,NewOrder,1710603304.187704,4019,0,1
2,Payment,1710603304.191748,1128,0,1
1,NewOrder,1710603304.192896,2782,0,1
1,NewOrder,1710603304.195703,3716,0,1
2,Payment,1710603304.199444,1801,0,1
1,NewOrder,1710603304.201265,2167,0,1
2,Payment,1710603304.203449,1047,0,1
1,NewOrder,1710603304.204513,3249,0,1
2,Payment,1710603304.207780,1048,0,1
1,NewOrder,1710603304.208845,2927,0,1
2,Payment,1710603304.211789,924,0,1
1,NewOrder,1710603304.212727,2206,0,1
1,NewOrder,1710603304.214951,3229,0,1
2,Payment,1710603304.218201,1149,0,1
2,Payment,1710603304.219368,979,0,1
1,NewOrder,1710603304.220363,3828,0,1
1,NewOrder,1710603304.224213,5873,0,1
1,NewOrder,1710603304.230110,5274,0,1
2,Payment,1710603304.235408,1102,0,1
2,Payment,1710603304.236528,1440,0,1
1,NewOrder,1710603304.237988,3053,0,1
2,Payment,1710603304.241061,1107,0,1
1,NewOrder,1710603304.242188,5500,0,1
1,NewOrder,1710603304.247712,2589,0,1
1,NewOrder,1710603304.250328,2541,0,1
2,Payment,1710603304.252890,3583,0,1
2,Payment,1710603304.256496,2620,0,1
3,OrderStatus,1710603304.259139,1293,0,1
2,Payment,1710603304.260453,1090,0,1
1,NewOrder,1710603304.261563,3103,0,1
2,Payment,1710603304.264687,1687,0,1
2,Payment,1710603304.266396,1065,0,1
2,Payment,1710603304.267650,1657,0,1
1,NewOrder,1710603304.269520,4298,0,1
1,NewOrder,1710603304.273863,3464,0,1
1,NewOrder,1710603304.277349,3620,0,1
4,Delivery,1710603304.280991,9257,0,1
1,NewOrder,1710603304.290272,4298,0,1
2,Payment,1710603304.294596,1152,0,1
1,NewOrder,1710603304.295763,3177,0,1
2,Payment,1710603304.298957,1055,0,1
2,Payment,1710603304.300026,1412,0,1
1,NewOrder,1710603304.301453,2671,0,1
2,Payment,1710603304.304141,1331,0,1
2,Payment,1710603304.305488,1981,0,1
1,NewOrder,1710603304.307491,3147,0,1
2,Payment,1710603304.310660,1262,0,1
1,NewOrder,1710603304.311940,3055,0,1
2,Payment,1710603304.315018,1442,0,1
2,Payment,1710603304.316483,979,0,1
4,Delivery,1710603304.317478,8918,0,1
2,Payment,1710603304.326420,1020,0,1
2,Payment,1710603304.327456,887,0,1
1,NewOrder,1710603304.328357,2976,0,1
2,Payment,1710603304.331353,991,0,1
1,NewOrder,1710603304.332358,3781,0,1
1,NewOrder,1710603304.336159,2831,0,1
2,Payment,1710603304.339011,976,0,1
2,Payment,1710603304.340003,3150,0,1
1,NewOrder,1710603304.343174,2140,0,1
2,Payment,1710603304.345332,1191,0,1
2,Payment,1710603304.346538,840,0,1
4,Delivery,1710603304.347390,10532,0,1
4,Delivery,1710603304.357945,8757,0,1
2,Payment,1710603304.366726,3692,0,1
5,StockLevel,1710603304.370442,1513,0,1
1,NewOrder,1710603304.371976,2734,0,1
2,Payment,1710603304.374730,1061,0,1
1,NewOrder,1710603304.375807,1975,0,1
2,Payment,1710603304.377800,1038,0,1
1,NewOrder,1710603304.378852,3167,0,1
1,NewOrder,1710603304.382039,4654,0,1
4,Delivery,1710603304.386717,10081,0,1
1,NewOrder,1710603304.396822,3601,0,1
2,Payment,1710603304.400446,1020,0,1
1,NewOrder,1710603304.401484,3708,0,1
2,Payment,1710603304.405216,1130,0,1
3,OrderStatus,1710603304.406365,1955,0,1
2,Payment,1710603304.408338,1192,0,1
2,Payment,1710603304.409548,1880,0,1
1,NewOrder,1710603304.411448,3274,0,1
1,NewOrder,1710603304.414744,3189,0,1
3,OrderStatus,1710603304.417954,1629,0,1
2,Payment,1710603304.419602,1193,0,1
3,OrderStatus,1710603304.420816,2123,0,1
2,Payment,1710603304.422959,1353,0,1
2,Payment,1710603304.424335,1085,0,1
1,NewOrder,1710603304.425441,4118,0,1
5,StockLevel,1710603304.429583,1639,0,1
2,Payment,1710603304.431241,1039,0,1
2,Payment,1710603304.432295,4968,0,1
1,NewOrder,1710603304.437286,3648,0,1
2,Payment,1710603304.440954,1079,0,1
3,OrderStatus,1710603304.442048,1239,0,1
2,Payment,1710603304.443301,1223,0,1
2,Payment,1710603304.444540,1202,0,1
1,NewOrder,1710603304.445756,2719,0,1
2,Payment,1710603304.448499,1471,0,1
2,Payment,1710603304.449990,984,0,1
2,Payment,1710603304.450991,1305,0,1
1,NewOrder,1710603304.452313,3433,0,1
1,NewOrder,1710603304.455767,4029,0,1
1,NewOrder,1710603304.459819,2852,0,1
1,NewOrder,1710603304.462691,2253,0,1
2,Payment,1710603304.464965,1412,0,1
