Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.000,1.304,0.405,0.656,0.959,1.672,2.642,3.396,5.672,5.672,0.767
5,13.400,0.909,0.339,0.516,0.625,0.994,1.409,2.090,6.339,6.339,1.100
10,17.000,0.760,0.302,0.358,0.405,0.544,0.969,1.888,10.648,10.648,1.316
15,22.200,0.397,0.267,0.318,0.346,0.385,0.674,0.725,0.840,0.904,2.520
20,20.400,0.419,0.268,0.321,0.349,0.414,0.692,0.741,0.905,0.977,2.386
25,17.600,0.646,0.286,0.324,0.347,0.621,0.779,0.835,14.852,14.852,1.548
30,20.600,0.421,0.280,0.313,0.335,0.431,0.680,0.711,0.786,2.486,2.373
35,22.600,0.391,0.250,0.308,0.334,0.384,0.674,0.710,0.775,0.808,2.559
40,19.000,0.559,0.275,0.307,0.331,0.573,0.726,0.774,13.054,13.054,1.788
45,21.400,0.445,0.260,0.320,0.351,0.556,0.762,0.803,1.184,1.214,2.249
50,20.600,0.414,0.262,0.309,0.335,0.445,0.706,0.784,0.873,0.917,2.417
55,22.400,0.400,0.274,0.303,0.322,0.427,0.667,0.766,0.852,0.910,2.503
