Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,184.200,1.036,0.599,0.742,0.818,0.979,1.615,2.111,3.528,21.502,0.965
5,232.800,0.800,0.575,0.683,0.729,0.804,0.976,1.341,1.703,4.235,1.250
10,242.200,0.753,0.568,0.659,0.700,0.764,0.868,1.165,1.610,3.497,1.329
15,235.600,0.775,0.582,0.671,0.708,0.768,0.932,1.376,1.595,1.839,1.290
20,210.000,0.799,0.555,0.641,0.685,0.763,1.310,1.524,1.779,4.269,1.251
25,228.600,0.829,0.572,0.658,0.700,0.785,1.331,1.485,1.713,12.322,1.207
30,221.000,0.781,0.570,0.671,0.702,0.764,1.043,1.401,1.689,2.126,1.281
35,243.400,0.759,0.585,0.666,0.698,0.755,0.905,1.311,1.512,1.766,1.317
40,266.200,0.727,0.585,0.665,0.697,0.740,0.795,0.853,1.525,2.133,1.376
45,260.600,0.723,0.560,0.662,0.693,0.736,0.796,0.870,1.436,1.982,1.383
50,263.600,0.725,0.567,0.640,0.675,0.730,0.817,0.992,1.512,4.138,1.379
55,241.400,0.715,0.555,0.630,0.668,0.728,0.817,0.918,1.476,5.746,1.399
