Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,449.000,2.215,0.347,0.921,1.673,2.935,4.074,5.864,8.798,20.691,0.452
5,519.200,1.919,0.333,0.733,1.575,2.563,3.281,5.715,7.277,18.098,0.521
10,459.400,2.169,0.278,0.753,1.583,2.746,4.832,5.838,11.544,22.438,0.461
15,504.600,1.969,0.290,0.703,1.608,2.622,3.583,5.633,7.593,14.823,0.508
20,578.200,1.725,0.288,0.681,1.423,2.422,3.099,4.596,5.958,12.125,0.580
25,510.400,1.953,0.249,0.703,1.564,2.565,3.822,5.653,7.620,19.517,0.512
30,545.000,1.830,0.261,0.701,1.519,2.542,3.174,5.423,6.439,12.956,0.547
35,482.400,2.068,0.287,0.708,1.606,2.670,4.524,5.689,10.029,13.508,0.484
40,518.600,1.923,0.276,0.699,1.482,2.590,3.730,5.596,7.028,13.558,0.520
45,508.200,1.965,0.289,0.690,1.621,2.647,3.929,5.556,6.667,13.670,0.509
50,530.600,1.878,0.279,0.687,1.447,2.538,3.421,5.567,7.789,16.917,0.532
55,541.200,1.841,0.252,0.674,1.443,2.512,3.289,5.419,7.568,13.249,0.543
