Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,179.000,3.457,1.002,2.286,2.936,3.966,5.897,6.694,9.429,19.701,0.289
5,233.400,2.648,1.113,1.962,2.460,2.925,3.391,5.179,6.823,15.323,0.378
10,229.800,2.813,1.027,1.969,2.505,3.008,3.991,5.952,8.403,22.959,0.355
15,232.400,2.692,0.927,1.967,2.485,2.959,3.729,5.275,7.226,13.854,0.372
20,244.200,2.674,1.154,1.971,2.486,2.963,3.578,5.247,6.699,9.721,0.374
25,248.000,2.572,0.963,1.949,2.443,2.889,3.270,4.088,7.138,11.868,0.389
30,242.400,2.644,0.955,1.927,2.452,2.973,3.757,5.053,6.439,7.588,0.378
35,258.600,2.500,1.207,1.918,2.352,2.835,3.185,3.815,6.485,9.050,0.400
40,208.800,3.092,1.433,1.985,2.543,3.183,5.600,6.726,8.359,16.103,0.323
45,217.800,3.019,1.012,2.077,2.686,3.415,5.236,5.926,6.791,9.192,0.331
50,217.400,2.925,1.138,2.022,2.550,3.119,4.959,6.273,7.735,13.851,0.342
55,247.400,2.614,1.039,1.919,2.394,2.930,3.535,5.048,6.617,7.844,0.383
