Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.200,1.448,0.992,1.185,1.295,1.603,1.887,2.294,3.177,3.177,0.691
5,15.800,1.372,0.826,1.131,1.289,1.595,1.832,2.175,2.439,2.439,0.729
10,14.000,1.615,0.864,1.239,1.513,1.861,2.269,2.774,3.221,3.221,0.619
15,13.600,1.716,0.761,1.219,1.479,1.963,2.661,3.483,3.962,3.962,0.583
20,19.600,1.508,0.846,1.177,1.256,1.482,1.931,2.589,13.548,13.548,0.663
25,17.200,1.479,0.923,1.192,1.330,1.533,2.057,2.382,3.683,3.683,0.676
30,20.600,1.312,0.823,1.049,1.191,1.372,1.761,2.239,2.759,4.560,0.762
35,15.000,1.559,0.847,1.191,1.396,1.777,2.073,2.905,3.771,3.771,0.642
40,17.200,1.315,0.893,1.142,1.276,1.427,1.598,1.887,2.236,2.236,0.760
45,15.800,1.531,0.854,1.156,1.293,1.823,2.537,2.671,3.460,3.460,0.653
50,18.400,1.309,0.885,1.102,1.237,1.452,1.625,1.788,3.269,3.269,0.764
55,12.400,1.713,0.976,1.315,1.630,1.939,2.608,2.779,3.080,3.080,0.584
