Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1718386501.655802,8549,0,1
1,NewOrder,1718386501.664460,7287,0,1
5,StockLevel,1718386501.671760,4665,0,1
1,NewOrder,1718386501.676437,3302,0,1
2,Payment,1718386501.679758,3337,0,1
2,Payment,1718386501.683112,1921,0,1
2,Payment,1718386501.685050,3068,0,1
2,Payment,1718386501.688129,1865,0,1
2,Payment,1718386501.690003,1176,0,1
2,Payment,1718386501.691189,2527,0,1
1,NewOrder,1718386501.693745,4119,0,1
2,Payment,1718386501.697873,2191,0,1
3,OrderStatus,1718386501.700093,3352,0,1
1,NewOrder,1718386501.703457,3726,0,1
1,NewOrder,1718386501.707195,5694,0,1
2,Payment,1718386501.712900,1399,0,1
1,NewOrder,1718386501.714309,4723,0,1
1,NewOrder,1718386501.719042,4554,0,1
5,StockLevel,1718386501.723624,1657,0,1
1,NewOrder,1718386501.725304,3713,0,1
1,NewOrder,1718386501.729027,3025,0,1
4,Delivery,1718386501.732062,11890,0,1
2,Payment,1718386501.743964,2775,0,1
1,NewOrder,1718386501.746750,2218,0,1
2,Payment,1718386501.748978,1174,0,1
4,Delivery,1718386501.750163,6061,0,1
2,Payment,1718386501.756236,839,0,1
3,OrderStatus,1718386501.757084,709,0,1
1,NewOrder,1718386501.757803,3966,0,1
2,Payment,1718386501.761793,1347,0,1
2,Payment,1718386501.763160,1224,0,1
2,Payment,1718386501.764413,2325,0,1
2,Payment,1718386501.766759,2435,0,1
2,Payment,1718386501.769206,1882,0,1
1,NewOrder,1718386501.771099,3546,0,1
2,Payment,1718386501.774656,980,0,1
1,NewOrder,1718386501.775647,2732,0,1
2,Payment,1718386501.778391,1943,0,1
1,NewOrder,1718386501.780345,2885,0,1
2,Payment,1718386501.783242,1868,0,1
1,NewOrder,1718386501.785119,1746,0,1
1,NewOrder,1718386501.786874,2074,0,1
1,NewOrder,1718386501.788956,1937,0,1
2,Payment,1718386501.790907,1960,0,1
2,Payment,1718386501.792878,700,0,1
4,Delivery,1718386501.793587,5950,0,1
2,Payment,1718386501.799548,1983,0,1
1,NewOrder,1718386501.801542,7446,0,1
2,Payment,1718386501.809003,1506,0,1
2,Payment,1718386501.810521,2266,0,1
1,NewOrder,1718386501.812798,1559,0,1
1,NewOrder,1718386501.814367,2336,0,1
1,NewOrder,1718386501.816712,2161,0,1
2,Payment,1718386501.818882,1793,0,1
2,Payment,1718386501.820684,662,0,1
2,Payment,1718386501.821355,9798,0,1
1,NewOrder,1718386501.831165,6193,0,1
1,NewOrder,1718386501.837369,4023,0,1
5,StockLevel,1718386501.841404,2484,0,1
2,Payment,1718386501.843898,2448,0,1
2,Payment,1718386501.846357,1110,0,1
1,NewOrder,1718386501.847477,2505,0,1
2,Payment,1718386501.849992,1659,0,1
2,Payment,1718386501.851662,1661,0,1
2,Payment,1718386501.853336,964,0,1
1,NewOrder,1718386501.854312,1936,0,1
1,NewOrder,1718386501.856259,3702,0,1
2,Payment,1718386501.859983,2160,0,1
2,Payment,1718386501.862166,2253,0,1
5,StockLevel,1718386501.864439,1162,0,1
1,NewOrder,1718386501.865616,3809,0,1
1,NewOrder,1718386501.869445,2087,0,1
1,NewOrder,1718386501.871541,2233,0,1
5,StockLevel,1718386501.873787,1029,0,1
1,NewOrder,1718386501.874825,3146,0,1
1,NewOrder,1718386501.877982,2755,0,1
1,NewOrder,1718386501.880748,2185,0,1
2,Payment,1718386501.882942,996,0,1
2,Payment,1718386501.883948,795,0,1
2,Payment,1718386501.884751,1943,0,1
2,Payment,1718386501.886704,773,0,1
2,Payment,1718386501.887487,3306,0,1
1,NewOrder,1718386501.890802,2650,0,1
3,OrderStatus,1718386501.893463,795,0,1
1,NewOrder,1718386501.894268,2256,0,1
3,OrderStatus,1718386501.896534,633,0,1
2,Payment,1718386501.897176,1699,0,1
1,NewOrder,1718386501.898886,1758,0,1
4,Delivery,1718386501.900654,5720,0,1
1,NewOrder,1718386501.906385,2569,0,1
1,NewOrder,1718386501.908964,1960,0,1
2,Payment,1718386501.910934,1767,0,1
1,NewOrder,1718386501.912711,2980,0,1
2,Payment,1718386501.915702,2166,0,1
2,Payment,1718386501.917877,738,0,1
3,OrderStatus,1718386501.918625,1684,0,1
2,Payment,1718386501.920320,786,0,1
2,Payment,1718386501.921116,725,0,1
1,NewOrder,1718386501.921850,1266,0,1
2,Payment,1718386501.923127,1904,0,1
1,NewOrder,1718386501.925042,4433,0,1
2,Payment,1718386501.929488,2053,0,1
1,NewOrder,1718386501.931552,2888,0,1
4,Delivery,1718386501.934451,5663,0,1
1,NewOrder,1718386501.940128,2303,0,1
2,Payment,1718386501.942443,1665,0,1
2,Payment,1718386501.944120,2077,0,1
1,NewOrder,1718386501.946230,3193,0,1
1,NewOrder,1718386501.949457,2451,0,1
2,Payment,1718386501.951923,1797,0,1
1,NewOrder,1718386501.953734,1675,0,1
1,NewOrder,1718386501.955420,2137,0,1
2,Payment,1718386501.957569,1840,0,1
2,Payment,1718386501.959421,1815,0,1
2,Payment,1718386501.961248,674,0,1
1,NewOrder,1718386501.961931,3130,0,1
1,NewOrder,1718386501.965072,1425,0,1
1,NewOrder,1718386501.966507,2615,0,1
2,Payment,1718386501.969131,1832,0,1
2,Payment,1718386501.970972,4136,0,1
4,Delivery,1718386501.975120,6426,0,1
1,NewOrder,1718386501.981558,1940,0,1
1,NewOrder,1718386501.983510,1817,0,1
1,NewOrder,1718386501.985335,1861,0,1
2,Payment,1718386501.987206,1757,0,1
2,Payment,1718386501.988977,883,0,1
5,StockLevel,1718386501.989871,2194,0,1
1,NewOrder,1718386501.992081,2796,0,1
2,Payment,1718386501.994994,1195,0,1
1,NewOrder,1718386501.996214,4204,0,1
1,NewOrder,1718386502.000440,2951,0,1
2,Payment,1718386502.003399,1659,0,1
3,OrderStatus,1718386502.005067,581,0,1
1,NewOrder,1718386502.005657,1945,0,1
1,NewOrder,1718386502.007611,2494,0,1
1,NewOrder,1718386502.010114,2998,0,1
1,NewOrder,1718386502.013120,4597,0,1
2,Payment,1718386502.017726,1622,0,1
2,Payment,1718386502.019357,1732,0,1
2,Payment,1718386502.021098,636,0,1
4,Delivery,1718386502.021742,5636,0,1
2,Payment,1718386502.027387,1664,0,1
1,NewOrder,1718386502.029061,2617,0,1
2,Payment,1718386502.031687,1500,0,1
2,Payment,1718386502.033196,2265,0,1
4,Delivery,1718386502.035471,7351,0,1
2,Payment,1718386502.042832,1568,0,1
2,Payment,1718386502.044410,677,0,1
1,NewOrder,1718386502.045096,2040,0,1
2,Payment,1718386502.047146,1608,0,1
1,NewOrder,1718386502.048762,1573,0,1
2,Payment,1718386502.050344,1532,0,1
5,StockLevel,1718386502.051885,1108,0,1
2,Payment,1718386502.052998,1614,0,1
2,Payment,1718386502.054622,1623,0,1
1,NewOrder,1718386502.056255,2549,0,1
1,NewOrder,1718386502.058812,2824,0,1
2,Payment,1718386502.061645,630,0,1
2,Payment,1718386502.062284,1405,0,1
1,NewOrder,1718386502.063699,1433,0,1
2,Payment,1718386502.065139,667,0,1
2,Payment,1718386502.065815,1604,0,1
3,OrderStatus,1718386502.067428,1598,0,1
1,NewOrder,1718386502.069036,1936,0,1
1,NewOrder,1718386502.070981,1904,0,1
2,Payment,1718386502.072894,1608,0,1
1,NewOrder,1718386502.074511,2103,0,1
1,NewOrder,1718386502.076623,1574,0,1
1,NewOrder,1718386502.078204,2677,0,1
2,Payment,1718386502.080890,1556,0,1
1,NewOrder,1718386502.082455,5924,0,1
3,OrderStatus,1718386502.088404,3370,0,1
1,NewOrder,1718386502.091789,2874,0,1
1,NewOrder,1718386502.094675,2233,0,1
2,Payment,1718386502.096918,654,0,1
2,Payment,1718386502.097582,1615,0,1
1,NewOrder,1718386502.099215,2729,0,1
2,Payment,1718386502.101952,1606,0,1
2,Payment,1718386502.103568,1569,0,1
1,NewOrder,1718386502.105146,1403,0,1
5,StockLevel,1718386502.106556,874,0,1
5,StockLevel,1718386502.107436,1110,0,1
1,NewOrder,1718386502.108552,1638,0,1
2,Payment,1718386502.110198,1786,0,1
1,NewOrder,1718386502.111994,2578,0,1
1,NewOrder,1718386502.114580,1400,0,1
2,Payment,1718386502.115988,1574,0,1
2,Payment,1718386502.117571,1521,0,1
2,Payment,1718386502.119101,692,0,1
2,Payment,1718386502.119805,624,0,1
1,NewOrder,1718386502.120439,2700,0,1
2,Payment,1718386502.123148,852,0,1
1,NewOrder,1718386502.124011,5709,0,1
2,Payment,1718386502.129733,2029,0,1
1,NewOrder,1718386502.131772,2181,0,1
1,NewOrder,1718386502.133964,2186,0,1
2,Payment,1718386502.136191,1588,0,1
1,NewOrder,1718386502.137790,1641,0,1
4,Delivery,1718386502.139441,6199,0,1
1,NewOrder,1718386502.145672,2784,0,1
2,Payment,1718386502.148482,1352,0,1
4,Delivery,1718386502.149859,6541,0,1
2,Payment,1718386502.156412,1642,0,1
1,NewOrder,1718386502.158063,1660,0,1
1,NewOrder,1718386502.159732,2136,0,1
1,NewOrder,1718386502.161876,3014,0,1
1,NewOrder,1718386502.164900,2975,0,1
2,Payment,1718386502.167885,686,0,1
4,Delivery,1718386502.168581,6512,0,1
2,Payment,1718386502.175103,739,0,1
1,NewOrder,1718386502.175851,2210,0,1
2,Payment,1718386502.178069,1737,0,1
1,NewOrder,1718386502.179819,3145,0,1
1,NewOrder,1718386502.182974,3744,0,1
1,NewOrder,1718386502.186729,2570,0,1
2,Payment,1718386502.189308,646,0,1
1,NewOrder,1718386502.189965,2182,0,1
1,NewOrder,1718386502.192157,1506,0,1
4,Delivery,1718386502.193672,5502,0,1
2,Payment,1718386502.199185,3783,0,1
1,NewOrder,1718386502.202978,4382,0,1
5,StockLevel,1718386502.207368,1265,0,1
1,NewOrder,1718386502.208639,2536,0,1
1,NewOrder,1718386502.211182,2970,0,1
1,NewOrder,1718386502.214160,2324,0,1
2,Payment,1718386502.216492,1715,0,1
4,Delivery,1718386502.218216,5093,0,1
3,OrderStatus,1718386502.223319,1524,0,1
1,NewOrder,1718386502.224852,1984,0,1
2,Payment,1718386502.226845,1532,0,1
4,Delivery,1718386502.228386,5134,0,1
1,NewOrder,1718386502.233529,1736,0,1
1,NewOrder,1718386502.235274,1681,0,1
2,Payment,1718386502.236969,1627,0,1
2,Payment,1718386502.238610,659,0,1
1,NewOrder,1718386502.239281,3327,0,1
4,Delivery,1718386502.242630,5361,0,1
1,NewOrder,1718386502.248015,2718,0,1
5,StockLevel,1718386502.250755,900,0,1
5,StockLevel,1718386502.251662,769,0,1
2,Payment,1718386502.252436,1568,0,1
1,NewOrder,1718386502.254014,2934,0,1
2,Payment,1718386502.256956,1696,0,1
1,NewOrder,1718386502.258660,2891,0,1
2,Payment,1718386502.261559,1692,0,1
2,Payment,1718386502.263277,1673,0,1
2,Payment,1718386502.264960,1632,0,1
1,NewOrder,1718386502.266602,2506,0,1
2,Payment,1718386502.269117,592,0,1
2,Payment,1718386502.269718,1539,0,1
2,Payment,1718386502.271266,1618,0,1
2,Payment,1718386502.272894,641,0,1
2,Payment,1718386502.273544,641,0,1
1,NewOrder,1718386502.274194,3107,0,1
2,Payment,1718386502.277352,906,0,1
1,NewOrder,1718386502.278321,3309,0,1
2,Payment,1718386502.281704,1569,0,1
1,NewOrder,1718386502.283283,1724,0,1
2,Payment,1718386502.285030,1589,0,1
1,NewOrder,1718386502.286624,1997,0,1
1,NewOrder,1718386502.288629,1899,0,1
1,NewOrder,1718386502.290533,2960,0,1
1,NewOrder,1718386502.293498,1600,0,1
1,NewOrder,1718386502.295103,3228,0,1
1,NewOrder,1718386502.298335,2265,0,1
2,Payment,1718386502.300609,806,0,1
1,NewOrder,1718386502.301424,1805,0,1
