Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,26.400,5.307,4.569,4.745,4.913,5.530,6.426,6.868,9.426,11.890,0.188
5,22.200,5.054,4.587,4.762,4.879,5.124,5.575,6.139,7.360,7.427,0.198
10,31.600,3.757,2.770,2.977,3.092,4.654,5.162,5.989,8.413,13.023,0.266
15,25.400,3.243,2.793,2.971,3.045,3.338,3.837,4.324,5.048,5.084,0.308
20,33.000,3.229,2.854,2.983,3.051,3.178,3.790,4.312,5.788,6.085,0.310
25,35.200,3.143,2.776,2.930,3.001,3.116,3.559,4.069,5.020,6.770,0.318
30,36.600,3.317,2.848,2.980,3.085,3.371,4.075,4.253,6.150,8.236,0.301
35,35.400,3.272,2.793,2.994,3.140,3.310,3.754,4.249,6.210,7.192,0.306
40,33.800,3.193,2.795,2.965,3.070,3.227,3.582,4.207,4.583,5.533,0.313
45,30.200,3.254,2.752,2.993,3.093,3.249,3.720,4.239,6.856,7.771,0.307
50,36.400,3.308,2.801,2.992,3.084,3.361,4.152,4.262,6.425,7.274,0.302
55,34.000,3.231,2.802,2.982,3.072,3.227,3.951,4.174,5.152,5.280,0.310
