Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,230.800,2.301,0.652,1.727,2.161,2.665,3.154,3.612,5.709,8.015,0.435
5,261.600,2.224,0.642,1.741,2.134,2.554,3.053,3.324,4.432,8.688,0.450
10,334.400,1.836,0.726,1.434,1.760,2.091,2.473,2.844,3.660,12.885,0.545
15,390.200,1.716,0.561,1.404,1.719,1.986,2.180,2.352,3.069,5.262,0.583
20,379.400,1.704,0.604,1.395,1.683,1.957,2.168,2.349,3.237,5.893,0.587
25,383.600,1.705,0.576,1.390,1.700,1.984,2.166,2.343,2.998,6.289,0.587
30,375.600,1.694,0.568,1.332,1.705,1.971,2.145,2.305,3.046,5.421,0.590
35,380.600,1.686,0.670,1.320,1.689,1.932,2.132,2.255,3.225,7.347,0.593
40,386.000,1.692,0.570,1.317,1.674,1.950,2.142,2.374,3.506,7.356,0.591
45,391.200,1.679,0.593,1.328,1.651,1.955,2.146,2.276,3.147,4.818,0.596
50,379.000,1.680,0.577,1.321,1.652,1.955,2.156,2.295,2.991,5.816,0.595
55,390.200,1.665,0.560,1.310,1.627,1.927,2.123,2.228,3.077,5.580,0.601
