Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,22.600,0.794,0.165,0.278,0.928,1.074,1.273,1.492,3.352,3.370,1.260
5,21.400,0.725,0.152,0.196,0.910,1.032,1.118,1.197,1.776,1.969,1.380
10,28.400,0.291,0.122,0.161,0.183,0.231,0.468,1.074,1.218,2.838,3.431
15,34.600,0.200,0.128,0.162,0.174,0.194,0.268,0.370,0.609,0.643,5.012
20,33.800,0.187,0.127,0.155,0.167,0.185,0.240,0.336,0.547,0.548,5.357
25,32.200,0.179,0.130,0.154,0.169,0.188,0.219,0.239,0.390,0.481,5.595
30,28.000,0.188,0.135,0.151,0.165,0.187,0.255,0.375,0.500,0.610,5.327
35,34.600,0.179,0.121,0.146,0.156,0.176,0.257,0.333,0.479,0.551,5.600
40,33.800,0.172,0.124,0.148,0.159,0.179,0.202,0.257,0.515,0.515,5.800
45,34.800,0.180,0.136,0.148,0.162,0.182,0.227,0.329,0.540,0.558,5.558
50,33.200,0.182,0.123,0.150,0.163,0.186,0.227,0.287,0.651,0.717,5.487
55,29.800,0.166,0.124,0.147,0.158,0.173,0.198,0.229,0.312,0.348,6.035
