Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,241.800,1.195,0.502,0.602,1.309,1.494,1.682,1.904,3.054,9.798,0.837
5,243.200,1.109,0.501,0.555,1.277,1.448,1.530,1.618,2.166,3.589,0.902
10,335.400,0.698,0.490,0.529,0.552,0.635,1.347,1.483,1.798,8.893,1.433
15,363.400,0.580,0.489,0.528,0.544,0.589,0.670,0.748,1.180,1.644,1.724
20,364.400,0.581,0.490,0.528,0.543,0.579,0.679,0.772,1.187,1.866,1.722
25,347.000,0.583,0.489,0.526,0.543,0.585,0.697,0.776,1.201,1.601,1.716
30,364.600,0.575,0.489,0.523,0.539,0.583,0.669,0.738,1.148,1.367,1.740
35,377.200,0.558,0.489,0.518,0.531,0.555,0.620,0.705,1.002,1.487,1.792
40,363.200,0.568,0.478,0.518,0.535,0.563,0.652,0.731,1.111,3.642,1.760
45,371.800,0.567,0.488,0.521,0.537,0.566,0.657,0.720,1.076,1.760,1.764
50,365.200,0.572,0.489,0.523,0.537,0.573,0.659,0.735,1.120,1.471,1.748
55,369.800,0.563,0.489,0.518,0.532,0.558,0.645,0.711,1.101,1.396,1.775
