Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,22.000,0.886,0.507,0.682,0.782,0.872,1.162,1.731,2.484,4.665,1.128
5,22.800,0.779,0.527,0.685,0.762,0.841,0.920,1.056,1.433,1.510,1.283
10,27.800,0.821,0.522,0.725,0.798,0.884,1.010,1.072,1.362,1.724,1.219
15,36.000,0.790,0.588,0.717,0.775,0.853,0.913,0.961,1.056,2.418,1.266
20,34.400,0.790,0.580,0.718,0.795,0.860,0.908,0.963,1.091,1.366,1.267
25,32.000,0.796,0.587,0.717,0.781,0.847,0.902,0.930,1.510,2.364,1.256
30,31.000,0.816,0.554,0.718,0.795,0.859,0.976,1.087,1.592,1.749,1.225
35,30.800,0.777,0.572,0.690,0.768,0.838,0.906,0.933,1.554,1.701,1.286
40,31.600,0.791,0.558,0.698,0.778,0.834,0.903,0.959,1.740,2.498,1.265
45,33.600,0.778,0.564,0.699,0.773,0.846,0.888,0.923,1.179,1.812,1.286
50,32.200,0.800,0.541,0.697,0.772,0.850,0.916,0.978,1.870,2.528,1.250
55,31.800,0.782,0.568,0.676,0.766,0.847,0.897,0.973,1.512,1.660,1.279
