Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,543.600,1.835,0.165,1.200,1.553,2.265,3.134,4.683,6.193,11.890,0.545
5,571.200,1.745,0.152,1.188,1.514,2.208,2.921,3.826,5.255,8.688,0.573
10,757.600,1.317,0.122,0.551,1.189,1.801,2.360,2.967,5.008,13.023,0.759
15,849.600,1.175,0.128,0.544,0.948,1.739,2.120,2.401,3.338,5.262,0.851
20,845.000,1.181,0.127,0.542,0.919,1.732,2.109,2.593,3.358,6.085,0.847
25,830.000,1.202,0.130,0.543,1.079,1.754,2.138,2.774,3.386,6.770,0.832
30,835.800,1.194,0.135,0.539,0.990,1.737,2.119,2.839,3.672,8.236,0.838
35,858.600,1.163,0.121,0.530,0.856,1.719,2.102,2.784,3.452,7.347,0.860
40,848.400,1.176,0.124,0.534,1.000,1.724,2.111,2.811,3.488,7.356,0.850
45,861.600,1.159,0.136,0.537,0.882,1.704,2.101,2.437,3.358,7.771,0.863
50,846.000,1.180,0.123,0.537,0.971,1.717,2.120,2.798,3.650,7.274,0.848
55,855.600,1.166,0.124,0.531,0.989,1.701,2.085,2.507,3.459,5.580,0.858
