Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,451,451.000,473,1457,1815,2216,2653,3809,5669,7351,11890
1,564,564.000,190,929,1502,1761,2197,3009,4085,6519,9426
2,564,564.000,171,1166,1500,1771,2213,3112,4664,5758,8355
3,564,564.000,181,1206,1523,1772,2232,3071,3904,5511,7786
4,575,575.000,165,1127,1492,1733,2134,2936,4627,5024,7001
5,555,555.000,156,1210,1506,1790,2282,3053,4432,5380,8688
6,554,554.000,176,1244,1534,1802,2243,3028,4636,5483,7360
7,582,582.000,164,1193,1526,1714,2194,2763,3251,5196,6463
8,594,594.000,160,1170,1499,1680,2118,2755,3439,5111,7036
9,571,571.000,152,920,1492,1745,2223,2967,4705,5800,7427
10,548,548.000,145,1061,1551,1825,2244,3036,4285,6902,13023
11,710,710.000,154,573,1257,1401,1908,2566,3320,5063,6574
12,821,821.000,123,539,1065,1216,1764,2168,2918,3794,5446
13,818,818.000,150,553,1049,1218,1785,2211,2825,3242,5775
14,891,891.000,122,542,802,1119,1573,2035,2251,3092,7206
15,854,854.000,147,546,834,1168,1725,2133,2396,3619,5048
16,812,812.000,155,554,1084,1230,1775,2177,2476,3638,5084
17,899,899.000,128,535,864,1109,1642,2038,2249,3082,4402
18,824,824.000,148,554,1102,1210,1777,2100,2396,3252,5262
19,859,859.000,130,540,825,1160,1739,2121,2586,3218,5166
20,838,838.000,127,548,977,1192,1708,2131,2638,3324,4511
21,837,837.000,138,542,1053,1190,1735,2123,2883,3192,5407
22,845,845.000,138,543,900,1182,1759,2077,2401,3555,5893
23,848,848.000,140,536,966,1176,1714,2134,2873,3358,5325
24,857,857.000,137,542,827,1163,1732,2084,2457,3436,6085
25,841,841.000,141,545,1088,1189,1753,2126,2488,3207,5235
26,841,841.000,142,548,836,1185,1746,2145,2868,3199,5188
27,848,848.000,131,541,1077,1175,1730,2087,2486,3182,5171
28,801,801.000,141,549,1088,1248,1796,2183,2889,3559,4122
29,819,819.000,130,537,1089,1215,1729,2140,2862,3545,6770
30,837,837.000,136,535,1086,1193,1758,2075,2826,3132,6150
31,845,845.000,138,540,883,1180,1721,2118,2566,3388,8236
32,815,815.000,140,541,1086,1223,1768,2140,2961,3726,6009
33,823,823.000,135,539,975,1213,1720,2137,3015,4084,5522
34,859,859.000,140,541,838,1160,1715,2092,2400,3254,4075
35,882,882.000,124,529,786,1132,1719,2102,2454,3257,3512
36,872,872.000,125,534,772,1144,1653,2068,2653,3754,5297
37,822,822.000,133,534,1072,1214,1750,2122,2980,3722,7192
38,864,864.000,138,530,986,1155,1716,2054,2515,3355,4477
39,853,853.000,121,528,902,1170,1721,2095,2743,3465,7347
40,842,842.000,132,533,965,1186,1742,2118,2726,3513,4677
41,885,885.000,134,527,841,1127,1616,2026,2811,3398,5533
42,866,866.000,124,536,964,1151,1687,2099,2438,3299,7356
43,862,862.000,141,531,857,1157,1727,2103,2443,3293,4247
44,787,787.000,144,544,1113,1268,1784,2180,3005,4019,4816
45,855,855.000,136,538,941,1167,1717,2111,2459,3195,3526
46,871,871.000,137,538,1065,1146,1704,2035,2218,3153,4283
47,887,887.000,141,528,734,1126,1685,2079,2274,3386,7771
48,838,838.000,136,537,1083,1190,1732,2126,2540,3515,5131
49,857,857.000,136,539,819,1165,1622,2116,2906,3752,6856
50,797,797.000,145,542,1137,1251,1762,2174,2963,3628,7274
51,867,867.000,123,534,852,1150,1653,2099,2691,3169,6425
52,900,900.000,136,531,759,1110,1616,2028,2302,3268,4912
53,835,835.000,132,538,867,1193,1745,2136,2924,4136,4492
54,831,831.000,135,538,1053,1200,1734,2131,2655,4013,5637
55,864,864.000,136,532,1059,1154,1648,2085,2337,3610,4716
56,859,859.000,128,528,840,1162,1708,2107,2900,3459,5580
57,877,877.000,127,530,1070,1139,1614,2019,2196,4102,5280
58,841,841.000,124,541,979,1185,1718,2128,2602,3441,5215
59,837,837.000,130,535,1068,1189,1760,2112,2438,3215,4972
