Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1708383902.901697,10445,0,1
1,NewOrder,1708383902.912266,23451,0,1
2,Payment,1708383902.935746,10133,0,1
2,Payment,1708383902.945904,2817,0,1
1,NewOrder,1708383902.948746,6925,0,1
1,NewOrder,1708383902.955698,6854,0,1
5,StockLevel,1708383902.962580,4226,0,1
1,NewOrder,1708383902.966829,5055,0,1
2,Payment,1708383902.971910,3251,0,1
2,Payment,1708383902.975188,3522,0,1
2,Payment,1708383902.978738,3200,0,1
2,Payment,1708383902.981963,3142,0,1
1,NewOrder,1708383902.985135,6206,0,1
2,Payment,1708383902.991372,15438,0,1
2,Payment,1708383903.006837,2903,0,1
1,NewOrder,1708383903.009768,6454,0,1
4,Delivery,1708383903.016247,21038,0,1
2,Payment,1708383903.037314,3186,0,1
2,Payment,1708383903.040525,2164,0,1
1,NewOrder,1708383903.042717,5374,0,1
1,NewOrder,1708383903.048118,7998,0,1
2,Payment,1708383903.056142,4040,0,1
1,NewOrder,1708383903.060211,4351,0,1
1,NewOrder,1708383903.064588,6509,0,1
1,NewOrder,1708383903.071124,3741,0,1
3,OrderStatus,1708383903.074890,3447,0,1
2,Payment,1708383903.078361,2102,0,1
1,NewOrder,1708383903.080486,3679,0,1
2,Payment,1708383903.084188,2162,0,1
2,Payment,1708383903.086373,1680,0,1
1,NewOrder,1708383903.088073,7024,0,1
2,Payment,1708383903.095125,1997,0,1
1,NewOrder,1708383903.097146,5461,0,1
2,Payment,1708383903.102630,1994,0,1
1,NewOrder,1708383903.104647,6935,0,1
1,NewOrder,1708383903.111612,5279,0,1
2,Payment,1708383903.116916,2118,0,1
2,Payment,1708383903.119056,1995,0,1
1,NewOrder,1708383903.121072,4002,0,1
1,NewOrder,1708383903.125097,5652,0,1
3,OrderStatus,1708383903.130776,1869,0,1
5,StockLevel,1708383903.132665,1856,0,1
2,Payment,1708383903.134755,2091,0,1
5,StockLevel,1708383903.136873,2334,0,1
1,NewOrder,1708383903.139231,4343,0,1
1,NewOrder,1708383903.143601,3762,0,1
2,Payment,1708383903.147388,2336,0,1
1,NewOrder,1708383903.149749,4568,0,1
1,NewOrder,1708383903.154344,5434,0,1
2,Payment,1708383903.159828,2531,0,1
4,Delivery,1708383903.162401,11186,0,1
2,Payment,1708383903.173616,1736,0,1
2,Payment,1708383903.175377,1789,0,1
5,StockLevel,1708383903.177189,2047,0,1
2,Payment,1708383903.179256,1768,0,1
1,NewOrder,1708383903.181046,3728,0,1
3,OrderStatus,1708383903.184797,1502,0,1
1,NewOrder,1708383903.186318,3664,0,1
2,Payment,1708383903.190008,2086,0,1
3,OrderStatus,1708383903.192120,2401,0,1
1,NewOrder,1708383903.194545,4793,0,1
3,OrderStatus,1708383903.199363,2028,0,1
1,NewOrder,1708383903.201411,5587,0,1
2,Payment,1708383903.207024,1846,0,1
1,NewOrder,1708383903.208900,5232,0,1
1,NewOrder,1708383903.214160,5304,0,1
2,Payment,1708383903.219489,1887,0,1
2,Payment,1708383903.221402,1608,0,1
1,NewOrder,1708383903.223036,5746,0,1
2,Payment,1708383903.228812,1549,0,1
2,Payment,1708383903.230383,1560,0,1
1,NewOrder,1708383903.231964,3602,0,1
1,NewOrder,1708383903.235595,5011,0,1
2,Payment,1708383903.240660,1534,0,1
1,NewOrder,1708383903.242240,4147,0,1
1,NewOrder,1708383903.246414,4813,0,1
3,OrderStatus,1708383903.251251,1954,0,1
3,OrderStatus,1708383903.253227,1357,0,1
2,Payment,1708383903.254602,1522,0,1
4,Delivery,1708383903.256146,10297,0,1
1,NewOrder,1708383903.266472,3226,0,1
2,Payment,1708383903.269724,1520,0,1
1,NewOrder,1708383903.271267,5904,0,1
1,NewOrder,1708383903.277201,3265,0,1
5,StockLevel,1708383903.280494,1994,0,1
4,Delivery,1708383903.282512,10790,0,1
1,NewOrder,1708383903.293333,3963,0,1
1,NewOrder,1708383903.297324,5644,0,1
2,Payment,1708383903.302996,1778,0,1
1,NewOrder,1708383903.304797,3012,0,1
2,Payment,1708383903.307833,1970,0,1
1,NewOrder,1708383903.309830,5640,0,1
1,NewOrder,1708383903.315499,5695,0,1
1,NewOrder,1708383903.321221,6376,0,1
2,Payment,1708383903.327629,1738,0,1
1,NewOrder,1708383903.329394,5767,0,1
2,Payment,1708383903.335193,2085,0,1
1,NewOrder,1708383903.337314,5059,0,1
2,Payment,1708383903.342400,1766,0,1
1,NewOrder,1708383903.344192,6498,0,1
