Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,101.600,2.052,0.984,1.207,1.489,2.566,3.138,3.980,8.372,28.304,0.487
5,143.000,1.288,0.905,1.077,1.142,1.264,1.973,2.294,2.916,3.527,0.776
10,140.000,1.333,0.915,1.034,1.112,1.318,2.077,2.239,2.673,14.854,0.750
15,159.000,1.130,0.875,0.996,1.057,1.144,1.251,1.408,2.445,11.272,0.885
20,140.200,1.278,0.879,1.018,1.086,1.256,2.017,2.188,2.549,8.006,0.782
25,154.400,1.224,0.880,0.991,1.056,1.157,1.991,2.218,2.695,6.722,0.817
30,156.000,1.251,0.866,0.991,1.070,1.222,1.987,2.253,2.724,4.711,0.800
35,166.400,1.191,0.861,0.987,1.043,1.105,1.182,1.303,2.351,92.096,0.839
40,147.000,1.236,0.871,1.008,1.076,1.196,1.940,2.231,2.649,9.640,0.809
45,148.800,1.294,0.901,1.054,1.113,1.215,1.990,2.380,3.455,10.637,0.773
50,174.000,1.116,0.858,0.979,1.029,1.103,1.224,1.411,2.570,17.551,0.896
55,159.000,1.203,0.882,0.992,1.055,1.165,1.659,2.185,2.796,7.993,0.831
