Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,244.000,4.083,0.599,1.549,2.879,5.039,7.835,11.392,19.626,114.770,0.245
5,276.600,3.594,0.553,1.339,2.710,4.628,7.244,9.975,15.295,28.289,0.278
10,304.000,3.273,0.547,1.265,2.702,4.361,5.897,9.412,11.912,26.059,0.306
15,271.000,3.676,0.502,1.280,2.728,4.564,8.693,10.243,15.760,34.276,0.272
20,299.800,3.318,0.433,1.202,2.438,4.203,7.184,9.464,18.180,24.923,0.301
25,332.800,2.981,0.378,1.065,2.434,3.838,5.807,8.347,12.947,23.644,0.335
30,400.400,2.491,0.386,0.983,2.036,3.418,4.379,7.396,9.236,23.750,0.401
35,340.000,2.936,0.396,1.037,2.049,3.835,6.777,8.222,11.272,19.615,0.341
40,312.000,3.190,0.402,1.080,2.248,4.093,7.393,8.847,16.243,24.681,0.313
45,333.800,2.985,0.386,1.049,2.328,3.852,6.066,8.384,12.805,36.230,0.335
50,414.200,2.412,0.346,0.922,1.789,3.375,4.296,7.205,8.516,23.070,0.415
55,383.000,2.598,0.357,0.897,2.045,3.369,5.792,7.282,9.435,16.538,0.385
