Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.800,1.462,0.868,1.119,1.263,1.499,1.801,2.283,10.885,10.885,0.684
5,22.800,1.272,0.821,1.078,1.230,1.395,1.580,1.802,2.228,3.072,0.786
10,17.000,1.278,0.769,1.077,1.232,1.375,1.576,1.700,2.959,2.959,0.782
15,19.600,1.300,0.910,1.150,1.266,1.410,1.526,1.610,2.420,2.420,0.769
20,23.600,1.196,0.857,1.074,1.189,1.303,1.400,1.487,1.538,1.706,0.836
25,23.400,1.295,0.938,1.118,1.227,1.329,1.469,1.599,1.764,6.820,0.772
30,20.800,1.330,0.893,1.172,1.296,1.413,1.615,1.793,2.303,2.483,0.752
35,20.200,1.327,0.854,1.157,1.317,1.440,1.615,1.735,2.214,2.626,0.753
40,22.800,1.319,0.925,1.193,1.294,1.423,1.582,1.683,1.857,1.924,0.758
45,25.000,1.293,0.764,1.158,1.256,1.395,1.554,1.709,2.047,2.222,0.774
50,19.800,1.313,0.888,1.053,1.219,1.433,1.563,1.674,5.525,5.525,0.762
55,20.000,1.310,0.946,1.188,1.267,1.409,1.527,1.679,2.684,2.684,0.763
