Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.000,8.650,5.578,6.223,6.656,9.224,14.420,18.255,28.068,28.068,0.116
5,15.400,10.425,5.754,6.259,12.392,14.101,14.734,14.898,15.635,15.635,0.096
10,12.400,10.910,5.712,6.395,12.288,13.585,14.892,15.487,19.407,19.407,0.092
15,15.400,9.342,5.529,5.886,6.163,12.927,14.982,15.603,26.276,26.276,0.107
20,10.600,12.862,5.673,12.327,14.122,14.571,14.825,15.007,18.324,18.324,0.078
25,11.000,10.776,5.510,5.884,12.336,14.566,15.116,15.461,17.187,17.187,0.093
30,11.600,13.884,9.296,12.634,14.478,14.836,15.222,15.319,17.177,17.177,0.072
35,14.200,10.832,5.519,6.028,12.361,13.061,14.578,15.009,21.512,21.512,0.092
40,14.200,10.583,5.456,5.992,12.090,14.229,15.111,16.006,24.260,24.260,0.094
45,13.600,9.540,5.410,6.002,6.777,13.841,14.974,15.185,15.629,15.629,0.105
50,16.600,9.264,5.421,5.928,6.538,13.426,14.481,14.900,18.288,18.288,0.108
55,14.200,10.247,5.340,6.098,11.665,13.153,13.896,14.192,14.480,14.480,0.098
