Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,192,192.000,1501,2181,3988,5208,7172,9175,13316,22965,23097
1,494,494.000,569,895,1205,2000,2758,3513,3871,7340,28068
2,512,512.000,394,829,1521,1944,2717,3433,4188,6808,10543
3,577,577.000,394,756,1254,1724,2448,3138,3465,6284,7400
4,349,349.000,351,1014,1747,2864,3943,6441,8566,14216,14671
5,359,359.000,391,1249,1758,2770,4120,5949,6566,12407,12791
6,283,283.000,420,1634,2259,3527,5002,7570,8656,14769,15635
7,268,268.000,403,1500,2607,3721,5187,7270,12171,14702,15046
8,438,438.000,353,809,1732,2275,2940,4876,6287,13204,14867
9,336,336.000,376,1375,1670,2971,4170,6101,6802,12410,13001
10,266,266.000,375,1556,2603,3758,5383,7397,8590,14813,16151
11,296,296.000,576,1337,1799,3351,5036,6789,8506,13133,14396
12,286,286.000,567,1463,1997,3500,5051,6722,8532,14915,19407
13,459,459.000,364,819,1532,2163,2845,4357,6141,8366,14212
14,332,332.000,332,1176,1897,2993,4321,6633,8089,10100,15487
15,425,425.000,334,785,1743,2340,2957,4897,6239,12657,15034
16,346,346.000,335,1315,1870,2888,3974,6545,7752,12541,15196
17,497,497.000,323,719,1634,2008,2607,3354,5868,8782,14967
18,370,370.000,311,795,1896,2704,3447,6183,7627,9833,15603
19,266,266.000,375,1524,1972,3723,5231,7612,12245,15618,26276
20,236,236.000,599,1701,3247,4252,6251,8359,12092,14695,15007
21,315,315.000,259,1258,1896,3142,4858,6804,8507,13022,14599
22,243,243.000,788,1746,2066,4091,6396,7972,8656,14614,14879
23,278,278.000,549,1477,1816,3608,5488,6816,8766,14617,18324
24,291,291.000,647,1475,2107,3424,5068,6755,8141,14198,15824
25,372,372.000,330,1178,1745,2683,3288,5756,7006,12734,15013
26,282,282.000,455,1473,2866,3526,5072,6717,8220,14642,15333
27,335,335.000,355,1456,1857,2981,4455,6214,7633,12318,16071
28,241,241.000,321,1769,2184,4146,6588,8303,9417,15116,17187
29,388,388.000,347,806,1732,2573,3150,5936,6992,12588,14732
30,248,248.000,728,1521,3404,4013,5782,7361,10050,13697,14820
31,247,247.000,628,1465,3194,4064,5514,7848,12286,15132,17177
32,254,254.000,382,1697,1960,3943,6084,7974,9123,14888,15319
33,209,209.000,659,1772,4198,4762,6974,8680,14598,15124,15338
34,235,235.000,586,1683,4003,4229,6086,7548,8553,14176,14997
35,522,522.000,298,716,1533,1917,2565,3322,5133,8310,21512
36,351,351.000,315,1282,1584,2833,3975,5919,6870,12692,15984
37,262,262.000,561,1451,3288,3770,5007,6992,9874,14575,15009
38,272,272.000,684,1433,1785,3676,5486,6824,9470,15001,15207
39,306,306.000,332,1387,1768,3255,5038,6681,8093,12713,14509
40,332,332.000,340,1479,1887,3002,4113,6305,7559,14686,17635
41,275,275.000,345,1597,1976,3713,5601,8092,9195,16347,24260
42,454,454.000,315,764,1754,2148,2800,4865,5992,7517,16006
43,275,275.000,445,1473,3117,3641,5293,6521,8866,12670,14909
44,297,297.000,334,1370,2724,3347,4652,6294,9709,12889,13110
45,356,356.000,328,876,2040,2809,3321,6774,7497,9271,15629
46,223,223.000,782,1771,3771,4460,6765,8411,9349,15124,15416
47,476,476.000,328,794,1813,2111,2829,3843,5885,6592,12598
48,296,296.000,342,1391,1874,3355,4851,6548,7815,13159,14974
49,264,264.000,631,1572,2032,3794,5578,7320,8950,14680,15277
50,439,439.000,305,713,1701,2297,2895,5639,6273,8380,18288
51,481,481.000,304,730,1640,2035,2656,3493,6039,9434,11717
52,278,278.000,350,1582,1913,3599,5676,7837,8728,14277,14649
53,316,316.000,326,1155,2187,3151,4448,6881,8262,14174,17843
54,228,228.000,696,1686,3787,4383,6578,7999,13027,14481,16786
55,246,246.000,689,1621,2014,4062,5834,7601,12806,14192,14480
56,405,405.000,298,1008,1837,2459,3003,5392,6227,13460,14268
57,422,422.000,324,842,1646,2363,3228,5285,6138,11593,14173
58,287,287.000,589,1324,3281,3496,5276,6118,6789,11896,12172
59,329,329.000,583,1326,1504,3004,4337,5785,6456,11889,13153
