Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,162.200,3.954,1.351,2.364,3.117,4.987,7.079,8.469,12.073,20.731,0.253
5,211.200,2.890,1.057,1.993,2.547,3.126,4.704,6.071,7.577,13.822,0.346
10,222.400,2.872,1.036,1.966,2.546,3.142,4.878,5.679,7.114,9.507,0.348
15,169.200,3.863,1.511,2.529,3.297,4.922,6.428,7.289,9.961,13.466,0.259
20,209.400,3.103,1.179,2.107,2.657,3.207,4.815,6.733,10.802,26.932,0.322
25,187.600,3.476,1.254,2.338,2.935,3.750,5.181,6.820,12.268,62.501,0.288
30,193.400,3.383,1.101,2.394,2.970,3.665,5.321,6.826,9.959,11.048,0.296
35,195.800,3.290,1.366,2.368,2.992,3.584,5.121,6.408,8.384,11.077,0.304
40,209.600,3.008,1.326,2.293,2.854,3.432,3.838,4.583,7.986,15.101,0.332
45,200.400,3.197,1.313,2.373,2.987,3.604,4.206,5.759,8.249,10.063,0.313
50,164.600,4.065,1.469,2.636,3.364,4.698,7.209,8.664,10.978,28.386,0.246
55,176.000,3.793,1.516,2.581,3.214,3.926,6.533,8.446,11.015,20.860,0.264
