Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.200,1.183,0.445,0.626,0.846,1.312,2.243,3.569,4.906,4.906,0.845
5,18.400,0.671,0.347,0.437,0.488,0.565,0.917,1.077,6.729,6.729,1.490
10,16.400,0.893,0.347,0.416,0.497,0.882,1.064,3.388,8.476,8.476,1.120
15,18.800,0.496,0.323,0.403,0.443,0.517,0.729,0.825,0.985,0.985,2.016
20,15.800,0.446,0.303,0.391,0.420,0.479,0.533,0.623,0.817,0.817,2.243
25,17.000,0.505,0.302,0.399,0.432,0.521,0.795,0.848,2.380,2.380,1.980
30,18.800,0.527,0.349,0.396,0.431,0.508,0.818,0.896,2.384,2.384,1.896
35,15.800,0.548,0.325,0.389,0.420,0.457,0.579,0.731,8.712,8.712,1.826
40,13.000,0.582,0.336,0.403,0.448,0.621,1.051,1.155,1.737,1.737,1.720
45,12.600,0.645,0.326,0.436,0.525,0.811,0.922,1.114,1.933,1.933,1.551
50,15.600,0.567,0.360,0.408,0.456,0.718,0.885,1.257,1.361,1.361,1.764
55,11.800,0.593,0.334,0.405,0.455,0.614,1.000,1.168,2.056,2.056,1.685
